<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	16:00:00	23058.6	23091.7	22928.6	23070.5	1734	0	0
2019.01.02	17:00:00	23075.4	23246.9	23014.3	23217.8	3202	0	0
2019.01.02	18:00:00	23218.5	23345.2	23194.8	23209.1	3221	0	0
2019.01.02	19:00:00	23208.6	23341.3	23193.7	23327.7	3148	0	0
2019.01.02	20:00:00	23327.5	23413.5	23327.5	23412.3	3082	0	0
2019.01.02	21:00:00	23411.3	23411.5	23252.2	23267.7	3080	0	0
2019.01.02	22:00:00	23264.6	23362.3	23183.9	23340.7	3069	0	0
2019.01.02	23:00:00	23343.3	23346.3	23343.3	23346.2	20	0	0
2019.01.03	16:00:00	23176.4	23176.4	22961.9	23029.3	1742	0	0
2019.01.03	17:00:00	23030.5	23030.5	22668.8	22779.6	3438	0	0
2019.01.03	18:00:00	22780.9	23021.5	22734.7	22950.4	3418	0	0
2019.01.03	19:00:00	22950.6	22983.3	22866.6	22948.7	3266	0	0
2019.01.03	20:00:00	22948.1	22948.1	22746.0	22773.3	3247	0	0
2019.01.03	21:00:00	22771.7	22898.9	22716.7	22742.9	3294	0	0
2019.01.03	22:00:00	22742.7	22796.9	22638.4	22683.6	3325	0	0
2019.01.03	23:00:00	22685.5	22687.0	22684.4	22686.2	21	0	0
2019.01.04	16:00:00	22894.9	23152.9	22894.9	23147.8	1721	0	0
2019.01.04	17:00:00	23149.4	23339.8	23042.4	23312.6	3412	0	0
2019.01.04	18:00:00	23312.2	23377.7	23236.4	23328.7	3314	0	0
2019.01.04	19:00:00	23324.7	23478.2	23271.7	23454.6	3151	0	0
2019.01.04	20:00:00	23454.8	23518.6	23393.3	23422.3	3199	0	0
2019.01.04	21:00:00	23423.4	23474.2	23365.5	23378.5	3192	0	0
2019.01.04	22:00:00	23379.2	23455.5	23357.8	23426.7	3269	0	0
2019.01.04	23:00:00	23428.0	23433.2	23427.7	23433.2	20	0	0
2019.01.07	16:00:00	23474.3	23474.3	23301.6	23386.5	1736	0	0
2019.01.07	17:00:00	23388.5	23445.0	23340.2	23384.8	1412	0	0
2019.01.07	18:00:00	23511.5	23630.1	23491.2	23629.4	2734	0	0
2019.01.07	19:00:00	23629.9	23640.8	23575.4	23627.2	1992	0	0
2019.01.07	20:00:00	23679.2	23687.7	23570.0	23574.9	2416	0	0
2019.01.07	21:00:00	23575.0	23602.8	23494.7	23509.1	3101	0	0
2019.01.07	22:00:00	23509.0	23611.7	23507.3	23527.1	3211	0	0
2019.01.07	23:00:00	23532.4	23533.2	23531.3	23531.3	15	0	0
2019.01.08	16:00:00	23680.3	23864.7	23680.3	23767.5	1711	0	0
2019.01.08	17:00:00	23767.3	23814.1	23581.5	23618.9	3012	0	0
2019.01.08	18:00:00	23618.1	23706.8	23602.3	23686.7	3262	0	0
2019.01.08	19:00:00	23687.2	23768.3	23631.2	23673.3	3033	0	0
2019.01.08	20:00:00	23675.5	23801.6	23649.0	23772.9	2735	0	0
2019.01.08	21:00:00	23772.5	23798.6	23733.7	23764.8	3098	0	0
2019.01.08	22:00:00	23762.6	23820.6	23726.2	23786.2	3141	0	0
2019.01.08	23:00:00	23789.2	23789.5	23787.3	23787.5	20	0	0
