<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	08:00:00	6245.89	6263.74	6245.68	6254.50	3046	0	120
2019.01.02	09:00:00	6254.36	6263.53	6234.34	6237.91	4417	0	120
2019.01.02	10:00:00	6236.79	6239.66	6141.24	6160.42	10845	0	120
2019.01.02	11:00:00	6160.70	6187.79	6158.60	6182.10	6991	0	120
2019.01.02	12:00:00	6182.33	6200.74	6167.07	6172.53	5732	0	120
2019.01.02	13:00:00	6172.80	6190.87	6169.05	6183.52	5657	0	120
2019.01.02	14:00:00	6184.22	6211.50	6181.56	6183.25	6016	0	120
2019.01.02	15:00:00	6183.24	6198.55	6173.16	6180.02	6840	0	120
2019.01.02	16:00:00	6179.81	6256.32	6178.55	6248.90	13582	0	120
2019.01.02	17:00:00	6248.90	6322.12	6228.74	6311.90	16796	0	120
2019.01.02	18:00:00	6311.90	6354.04	6303.50	6309.25	14978	0	120
2019.01.02	19:00:00	6309.25	6364.12	6303.85	6358.75	12115	0	120
2019.01.02	20:00:00	6358.40	6394.71	6358.40	6392.65	12496	0	120
2019.01.02	21:00:00	6392.82	6393.45	6354.40	6358.10	14486	0	120
2019.01.02	22:00:00	6358.03	6368.04	6316.95	6359.36	17582	0	120
2019.01.02	23:00:00	6359.43	6364.89	6236.23	6249.25	6689	0	120
2019.01.03	01:00:00	6226.50	6226.50	6192.06	6203.50	5040	0	120
2019.01.03	02:00:00	6203.68	6220.85	6202.35	6210.40	3210	0	120
2019.01.03	03:00:00	6210.96	6237.28	6207.00	6233.36	4044	0	120
2019.01.03	04:00:00	6233.78	6239.52	6216.70	6218.73	3387	0	120
2019.01.03	05:00:00	6218.50	6221.74	6207.25	6218.24	3105	0	120
2019.01.03	06:00:00	6218.31	6222.16	6209.56	6218.80	2626	0	120
2019.01.03	07:00:00	6218.80	6221.88	6190.45	6197.95	3519	0	120
2019.01.03	08:00:00	6198.15	6200.45	6175.33	6196.12	3189	0	120
2019.01.03	09:00:00	6195.95	6218.66	6195.95	6198.78	4180	0	120
2019.01.03	10:00:00	6198.75	6209.70	6183.80	6190.52	6661	0	120
2019.01.03	11:00:00	6190.80	6204.66	6184.01	6185.97	4539	0	121
2019.01.03	12:00:00	6185.62	6200.60	6176.03	6185.90	4802	0	120
2019.01.03	13:00:00	6185.34	6197.59	6180.00	6194.02	4999	0	120
2019.01.03	14:00:00	6194.02	6233.78	6192.55	6233.78	5648	0	120
2019.01.03	15:00:00	6233.85	6259.89	6226.64	6256.67	6576	0	120
2019.01.03	16:00:00	6256.53	6291.53	6225.73	6238.70	15034	0	120
2019.01.03	17:00:00	6238.12	6238.12	6157.10	6199.34	20819	0	120
2019.01.03	18:00:00	6199.41	6269.97	6194.51	6240.15	19257	0	120
2019.01.03	19:00:00	6240.35	6249.25	6204.85	6232.60	15094	0	120
2019.01.03	20:00:00	6231.40	6232.85	6166.10	6172.46	15701	0	120
2019.01.03	21:00:00	6172.32	6218.24	6158.65	6165.53	14451	0	120
2019.01.03	22:00:00	6166.10	6187.45	6135.64	6142.85	14983	0	120
