<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	08:00:00	2477.93	2484.80	2477.93	2482.19	2700	0	94
2019.01.02	09:00:00	2482.17	2484.39	2474.65	2476.00	3597	0	94
2019.01.02	10:00:00	2475.15	2476.15	2451.65	2456.69	8389	0	94
2019.01.02	11:00:00	2456.85	2468.63	2455.65	2467.50	4859	0	94
2019.01.02	12:00:00	2467.49	2470.65	2463.15	2464.93	4775	0	94
2019.01.02	13:00:00	2465.00	2471.35	2463.25	2469.15	5195	0	94
2019.01.02	14:00:00	2469.19	2477.33	2467.37	2467.41	4889	0	94
2019.01.02	15:00:00	2467.25	2470.25	2461.11	2464.25	5937	0	94
2019.01.02	16:00:00	2464.41	2481.15	2464.00	2478.91	8343	0	94
2019.01.02	17:00:00	2478.83	2498.90	2473.15	2496.00	15167	0	94
2019.01.02	18:00:00	2496.13	2512.00	2493.40	2496.51	12628	0	94
2019.01.02	19:00:00	2496.40	2510.77	2494.37	2509.25	9405	0	94
2019.01.02	20:00:00	2509.15	2519.67	2509.00	2519.25	8561	0	94
2019.01.02	21:00:00	2519.31	2519.41	2504.90	2506.17	10021	0	94
2019.01.02	22:00:00	2506.07	2512.65	2494.90	2510.15	13135	0	94
2019.01.02	23:00:00	2510.15	2511.73	2487.85	2488.97	5309	0	94
2019.01.03	01:00:00	2481.00	2481.00	2470.47	2473.90	5179	0	94
2019.01.03	02:00:00	2473.65	2479.83	2473.65	2474.53	2967	0	94
2019.01.03	03:00:00	2474.00	2483.75	2473.45	2482.57	3660	0	94
2019.01.03	04:00:00	2482.30	2484.37	2476.30	2477.03	3107	0	94
2019.01.03	05:00:00	2476.95	2478.70	2474.65	2477.67	2576	0	94
2019.01.03	06:00:00	2477.57	2478.75	2474.80	2476.60	1927	0	94
2019.01.03	07:00:00	2476.80	2477.45	2469.89	2472.55	2888	0	94
2019.01.03	08:00:00	2472.55	2473.45	2462.99	2471.05	2649	0	94
