<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	00:00:00	109.643	109.694	109.604	109.675	4081	0	11
2019.01.02	01:00:00	109.675	109.723	109.643	109.668	1974	0	5
2019.01.02	02:00:00	109.668	109.678	109.483	109.623	2730	0	4
2019.01.02	03:00:00	109.624	109.673	109.580	109.594	2508	0	4
2019.01.02	04:00:00	109.595	109.609	109.334	109.410	3947	0	4
2019.01.02	05:00:00	109.410	109.424	109.341	109.417	1915	0	4
2019.01.02	06:00:00	109.417	109.425	109.339	109.386	2319	0	5
2019.01.02	07:00:00	109.386	109.422	109.297	109.301	1972	0	5
2019.01.02	08:00:00	109.300	109.300	109.124	109.253	2335	0	4
2019.01.02	09:00:00	109.253	109.341	109.179	109.308	3232	0	5
2019.01.02	10:00:00	109.310	109.321	108.900	108.948	7098	0	4
2019.01.02	11:00:00	108.949	108.975	108.705	108.940	6552	0	4
2019.01.02	12:00:00	108.940	109.099	108.877	109.043	4596	0	4
2019.01.02	13:00:00	109.044	109.173	109.041	109.103	4972	0	4
2019.01.02	14:00:00	109.104	109.283	109.098	109.140	4191	0	4
2019.01.02	15:00:00	109.139	109.193	108.818	109.186	6424	0	4
2019.01.02	16:00:00	109.186	109.358	109.173	109.334	6526	0	4
2019.01.02	17:00:00	109.333	109.389	109.263	109.279	7237	0	4
2019.01.02	18:00:00	109.279	109.354	109.212	109.217	5224	0	4
2019.01.02	19:00:00	109.217	109.460	109.215	109.440	5748	0	4
2019.01.02	20:00:00	109.440	109.452	109.376	109.447	3102	0	4
2019.01.02	21:00:00	109.447	109.447	109.179	109.192	3520	0	4
2019.01.02	22:00:00	109.191	109.199	109.034	109.077	4433	0	5
2019.01.02	23:00:00	109.078	109.120	108.863	108.870	2080	0	4
2019.01.03	00:00:00	108.870	108.897	104.648	106.692	5689	0	4
2019.01.03	01:00:00	106.692	107.865	106.490	107.423	9352	0	4
2019.01.03	02:00:00	107.424	107.852	107.422	107.640	4725	0	4
2019.01.03	03:00:00	107.640	107.801	107.429	107.532	4666	0	4
2019.01.03	04:00:00	107.532	107.546	107.070	107.131	3754	0	5
2019.01.03	05:00:00	107.131	107.201	107.021	107.154	3228	0	5
2019.01.03	06:00:00	107.154	107.283	107.149	107.151	2483	0	5
2019.01.03	07:00:00	107.151	107.159	106.743	106.966	4051	0	4
2019.01.03	08:00:00	106.966	106.974	106.796	106.847	4085	0	4
2019.01.03	09:00:00	106.848	107.670	106.847	107.549	9703	0	4
2019.01.03	10:00:00	107.547	107.955	107.425	107.643	8564	0	4
2019.01.03	11:00:00	107.644	107.844	107.643	107.656	5068	0	4
2019.01.03	12:00:00	107.657	107.679	107.505	107.634	4407	0	4
2019.01.03	13:00:00	107.633	107.677	107.512	107.549	3478	0	4
2019.01.03	14:00:00	107.549	107.711	107.522	107.660	3428	0	4
2019.01.03	15:00:00	107.660	107.998	107.592	107.744	7812	0	4
2019.01.03	16:00:00	107.744	107.964	107.641	107.641	7527	0	4
2019.01.03	17:00:00	107.597	107.940	107.102	107.540	14438	0	4
2019.01.03	18:00:00	107.544	108.301	107.493	108.093	10491	0	4
2019.01.03	19:00:00	108.093	108.108	107.823	108.022	8062	0	4
2019.01.03	20:00:00	108.022	108.025	107.741	107.837	5751	0	4
2019.01.03	21:00:00	107.836	107.889	107.719	107.731	3988	0	4
2019.01.03	22:00:00	107.732	107.774	107.391	107.516	6198	0	4
2019.01.03	23:00:00	107.519	107.672	107.463	107.643	1913	0	4
2019.01.04	00:00:00	107.643	107.704	107.629	107.670	5321	0	8
2019.01.04	01:00:00	107.668	107.968	107.638	107.848	5632	0	4
2019.01.04	02:00:00	107.845	107.930	107.513	107.517	8748	0	4
2019.01.04	03:00:00	107.517	107.949	107.510	107.837	6909	0	4
2019.01.04	04:00:00	107.837	108.192	107.803	108.109	5528	0	5
2019.01.04	05:00:00	108.108	108.443	108.108	108.326	4843	0	4
2019.01.04	06:00:00	108.326	108.430	108.309	108.331	2955	0	4
2019.01.04	07:00:00	108.332	108.374	108.208	108.251	2531	0	5
2019.01.04	08:00:00	108.251	108.281	108.060	108.183	2533	0	4
2019.01.04	09:00:00	108.182	108.228	107.819	107.846	5330	0	4
2019.01.04	10:00:00	107.847	108.042	107.823	108.033	6302	0	4
2019.01.04	11:00:00	108.029	108.037	107.864	108.027	4966	0	4
2019.01.04	12:00:00	108.028	108.060	107.927	107.964	3964	0	4
2019.01.04	13:00:00	107.964	108.015	107.942	107.987	3227	0	4
2019.01.04	14:00:00	107.987	108.058	107.959	108.001	3412	0	4
2019.01.04	15:00:00	108.001	108.451	107.996	108.298	8552	0	4
2019.01.04	16:00:00	108.297	108.587	108.274	108.470	9447	0	4
2019.01.04	17:00:00	108.471	108.481	108.102	108.106	12059	0	4
2019.01.04	18:00:00	108.106	108.347	108.062	108.287	8046	0	4
2019.01.04	19:00:00	108.289	108.571	108.279	108.447	5869	0	4
2019.01.04	20:00:00	108.446	108.584	108.349	108.431	4464	0	4
2019.01.04	21:00:00	108.433	108.555	108.417	108.510	4757	0	4
2019.01.04	22:00:00	108.510	108.519	108.427	108.453	3412	0	4
2019.01.04	23:00:00	108.453	108.563	108.429	108.434	1378	0	5
2019.01.07	00:00:00	108.481	108.561	108.404	108.465	2998	0	4
2019.01.07	01:00:00	108.464	108.619	108.349	108.547	3665	0	4
2019.01.07	02:00:00	108.548	108.602	108.456	108.473	4649	0	4
2019.01.07	03:00:00	108.473	108.538	108.319	108.367	4524	0	4
2019.01.07	04:00:00	108.367	108.390	108.233	108.233	3024	0	5
2019.01.07	05:00:00	108.233	108.267	108.064	108.134	3282	0	4
2019.01.07	06:00:00	108.132	108.301	108.018	108.299	3688	0	4
2019.01.07	07:00:00	108.299	108.311	108.146	108.190	2624	0	5
2019.01.07	08:00:00	108.194	108.258	108.158	108.207	1947	0	4
2019.01.07	09:00:00	108.207	108.271	108.087	108.184	5380	0	4
2019.01.07	10:00:00	108.185	108.260	108.066	108.193	4640	0	4
2019.01.07	11:00:00	108.195	108.226	108.118	108.195	4081	0	4
2019.01.07	12:00:00	108.195	108.361	108.143	108.349	3299	0	4
2019.01.07	13:00:00	108.349	108.402	108.319	108.354	3171	0	4
2019.01.07	14:00:00	108.354	108.355	108.227	108.258	3243	0	4
2019.01.07	15:00:00	108.258	108.405	108.210	108.353	4114	0	4
2019.01.07	16:00:00	108.353	108.372	108.214	108.297	5235	0	4
2019.01.07	17:00:00	108.291	108.542	108.206	108.433	8525	0	4
2019.01.07	18:00:00	108.433	108.634	108.421	108.620	5050	0	4
2019.01.07	19:00:00	108.621	108.645	108.558	108.603	4224	0	4
2019.01.07	20:00:00	108.603	108.675	108.514	108.566	3539	0	4
2019.01.07	21:00:00	108.565	108.630	108.538	108.594	3724	0	4
2019.01.07	22:00:00	108.594	108.744	108.590	108.705	2467	0	5
2019.01.07	23:00:00	108.705	108.741	108.661	108.710	1534	0	5
2019.01.08	00:00:00	108.689	108.703	108.606	108.653	1765	0	6
2019.01.08	01:00:00	108.653	108.672	108.592	108.624	1271	0	6
2019.01.08	02:00:00	108.628	108.770	108.610	108.733	3542	0	4
2019.01.08	03:00:00	108.734	108.747	108.510	108.558	4448	0	4
2019.01.08	04:00:00	108.558	108.749	108.526	108.710	3721	0	4
2019.01.08	05:00:00	108.711	108.915	108.615	108.875	3572	0	4
2019.01.08	06:00:00	108.875	108.996	108.874	108.985	2962	0	4
2019.01.08	07:00:00	108.984	108.995	108.778	108.782	2808	0	4
2019.01.08	08:00:00	108.779	108.887	108.734	108.881	2196	0	4
2019.01.08	09:00:00	108.879	109.085	108.823	108.977	5086	0	4
2019.01.08	10:00:00	108.977	109.015	108.878	108.910	5033	0	4
2019.01.08	11:00:00	108.910	108.945	108.803	108.871	3541	0	5
2019.01.08	12:00:00	108.871	108.899	108.673	108.716	3869	0	4
2019.01.08	13:00:00	108.717	108.787	108.684	108.724	3455	0	4
2019.01.08	14:00:00	108.724	108.765	108.600	108.763	3917	0	4
2019.01.08	15:00:00	108.763	108.878	108.703	108.871	5491	0	4
2019.01.08	16:00:00	108.872	108.958	108.813	108.859	5645	0	4
2019.01.08	17:00:00	108.859	108.892	108.593	108.614	6729	0	4
2019.01.08	18:00:00	108.613	108.668	108.440	108.581	6733	0	4
2019.01.08	19:00:00	108.581	108.641	108.495	108.586	5065	0	4
2019.01.08	20:00:00	108.585	108.673	108.559	108.641	3497	0	4
2019.01.08	21:00:00	108.641	108.682	108.619	108.647	2748	0	5
2019.01.08	22:00:00	108.647	108.797	108.620	108.761	2873	0	5
2019.01.08	23:00:00	108.761	108.831	108.713	108.719	1449	0	4
2019.01.09	00:00:00	108.703	108.852	108.669	108.780	3708	0	4
2019.01.09	01:00:00	108.781	108.827	108.744	108.749	1175	0	6
2019.01.09	02:00:00	108.749	108.844	108.690	108.710	3513	0	4
2019.01.09	03:00:00	108.710	108.799	108.678	108.788	3412	0	5
2019.01.09	04:00:00	108.788	109.001	108.775	108.906	3978	0	4
2019.01.09	05:00:00	108.906	108.943	108.829	108.896	2544	0	5
2019.01.09	06:00:00	108.896	108.943	108.833	108.862	2754	0	4
2019.01.09	07:00:00	108.861	108.921	108.816	108.851	2347	0	4
2019.01.09	08:00:00	108.851	108.891	108.813	108.832	2082	0	4
2019.01.09	09:00:00	108.832	108.989	108.814	108.911	3580	0	4
2019.01.09	10:00:00	108.911	108.927	108.788	108.869	4976	0	4
2019.01.09	11:00:00	108.869	108.963	108.868	108.905	3265	0	4
2019.01.09	12:00:00	108.905	108.942	108.876	108.885	3324	0	4
2019.01.09	13:00:00	108.885	108.924	108.838	108.911	3450	0	5
2019.01.09	14:00:00	108.911	108.940	108.863	108.880	3486	0	4
2019.01.09	15:00:00	108.880	108.882	108.722	108.747	4032	0	4
2019.01.09	16:00:00	108.747	108.752	108.416	108.444	8309	0	4
2019.01.09	17:00:00	108.445	108.513	108.048	108.186	10674	0	4
