<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	06:00:00	1282.210	1284.050	1282.010	1283.920	1009	0	210
2019.01.02	07:00:00	1283.920	1286.440	1283.710	1286.200	1383	0	170
2019.01.02	08:00:00	1286.200	1287.310	1285.580	1285.820	1885	0	170
2019.01.02	09:00:00	1285.820	1286.430	1284.550	1285.450	2112	0	200
2019.01.02	10:00:00	1285.450	1288.560	1284.850	1287.990	2670	0	170
2019.01.02	11:00:00	1288.010	1288.700	1286.930	1286.980	2118	0	180
2019.01.02	12:00:00	1286.980	1287.870	1286.280	1287.290	1685	0	190
2019.01.02	13:00:00	1287.290	1287.590	1286.310	1286.430	1583	0	200
2019.01.02	14:00:00	1286.340	1286.340	1284.030	1285.440	2255	0	200
2019.01.02	15:00:00	1285.430	1287.350	1283.270	1284.220	3847	0	190
2019.01.02	16:00:00	1284.130	1285.070	1281.730	1283.600	3837	0	150
2019.01.02	17:00:00	1283.550	1287.040	1282.810	1285.770	3933	0	150
2019.01.02	18:00:00	1285.770	1287.630	1283.270	1285.190	3137	0	150
2019.01.02	19:00:00	1285.190	1286.490	1283.970	1284.020	1502	0	150
2019.01.02	20:00:00	1283.920	1284.040	1278.640	1279.270	2660	0	150
2019.01.02	21:00:00	1279.250	1281.490	1279.050	1281.490	1843	0	190
2019.01.02	22:00:00	1281.490	1283.300	1280.710	1283.170	1140	0	150
2019.01.02	23:00:00	1283.170	1284.940	1282.360	1284.600	741	0	140
2019.01.03	01:00:00	1287.520	1290.170	1285.430	1285.800	1491	0	150
2019.01.03	02:00:00	1285.800	1287.350	1285.170	1286.670	1793	0	190
2019.01.03	03:00:00	1286.750	1288.510	1285.060	1288.270	2628	0	190
2019.01.03	04:00:00	1288.270	1289.610	1287.860	1288.470	1897	0	170
2019.01.03	05:00:00	1288.470	1288.840	1287.530	1287.840	1321	0	190
2019.01.03	06:00:00	1287.840	1288.760	1287.660	1288.350	957	0	220
2019.01.03	07:00:00	1288.350	1290.230	1287.660	1289.950	1523	0	210
2019.01.03	08:00:00	1289.950	1292.240	1289.370	1292.030	1743	0	180
2019.01.03	09:00:00	1292.030	1292.260	1288.520	1289.590	3873	0	190
2019.01.03	10:00:00	1289.560	1290.660	1288.090	1289.650	3743	0	150
2019.01.03	11:00:00	1289.710	1289.710	1287.280	1288.030	1963	0	180
2019.01.03	12:00:00	1288.030	1288.810	1286.900	1288.100	2022	0	190
2019.01.03	13:00:00	1288.100	1288.200	1286.020	1287.160	2302	0	210
2019.01.03	14:00:00	1287.160	1289.090	1287.000	1287.990	1689	0	200
2019.01.03	15:00:00	1287.990	1290.010	1284.510	1287.720	4772	0	150
2019.01.03	16:00:00	1287.720	1289.180	1286.780	1287.710	2908	0	150
2019.01.03	17:00:00	1287.740	1291.300	1287.410	1289.680	7257	0	150
2019.01.03	18:00:00	1289.680	1290.830	1288.250	1289.210	4602	0	150
2019.01.03	19:00:00	1289.210	1290.860	1288.880	1290.360	2503	0	170
2019.01.03	20:00:00	1290.330	1292.970	1290.030	1291.090	2603	0	150
2019.01.03	21:00:00	1291.090	1293.420	1290.990	1293.330	1324	0	160
2019.01.03	22:00:00	1293.330	1295.010	1292.160	1295.010	1737	0	150
2019.01.03	23:00:00	1294.880	1294.880	1293.740	1293.970	708	0	120
2019.01.04	01:00:00	1293.480	1295.250	1292.690	1295.150	1322	0	160
2019.01.04	02:00:00	1295.150	1297.010	1294.890	1296.780	2626	0	170
2019.01.04	03:00:00	1296.770	1298.490	1296.350	1296.920	3138	0	170
2019.01.04	04:00:00	1296.920	1298.050	1296.610	1296.710	1683	0	210
2019.01.04	05:00:00	1296.710	1296.840	1294.450	1295.510	2074	0	210
2019.01.04	06:00:00	1295.510	1295.590	1294.150	1294.410	1278	0	220
2019.01.04	07:00:00	1294.410	1296.230	1293.910	1295.430	1420	0	220
2019.01.04	08:00:00	1295.360	1295.730	1294.040	1294.260	1205	0	210
2019.01.04	09:00:00	1294.260	1295.050	1292.970	1294.530	2339	0	190
2019.01.04	10:00:00	1294.530	1295.270	1291.240	1291.740	2111	0	150
2019.01.04	11:00:00	1291.740	1292.530	1289.320	1290.060	2055	0	190
2019.01.04	12:00:00	1290.170	1291.070	1289.850	1291.050	1545	0	220
2019.01.04	13:00:00	1291.010	1292.090	1290.760	1291.250	1116	0	210
2019.01.04	14:00:00	1291.250	1291.660	1290.460	1291.070	1172	0	200
2019.01.04	15:00:00	1291.160	1291.660	1285.770	1287.610	6224	0	160
