<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.01	15:00:00	26805.9	26890.6	26743.8	26779.3	4999	0	0
2019.07.01	18:00:00	26779.9	26791.6	26635.4	26663.0	9007	0	0
2019.07.01	21:00:00	26662.9	26724.5	26616.2	26717.4	5990	0	0
2019.07.02	15:00:00	26719.5	26748.8	26646.2	26736.0	4871	0	0
2019.07.02	18:00:00	26737.4	26746.8	26632.7	26720.5	8670	0	0
2019.07.02	21:00:00	26720.6	26787.6	26695.0	26786.7	5737	0	0
2019.07.03	15:00:00	26832.3	26897.1	26831.4	26880.9	4826	0	0
2019.07.03	18:00:00	26880.5	26966.0	26852.0	26966.0	6070	0	0
2019.07.05	15:00:00	26867.8	26876.1	26733.3	26791.5	4872	0	0
2019.07.05	18:00:00	26793.3	26936.1	26773.7	26912.7	8229	0	0
2019.07.05	21:00:00	26912.6	26950.8	26875.2	26922.1	5622	0	0
2019.07.08	15:00:00	26835.6	26839.1	26744.9	26784.5	4844	0	0
2019.07.08	18:00:00	26784.2	26817.1	26765.1	26783.4	8374	0	0
2019.07.08	21:00:00	26783.3	26830.1	26756.5	26806.1	5620	0	0
2019.07.09	15:00:00	26725.1	26736.7	26665.6	26706.7	4867	0	0
2019.07.09	18:00:00	26705.6	26739.5	26687.2	26738.8	8439	0	0
2019.07.09	21:00:00	26738.7	26807.7	26718.1	26783.5	5540	0	0
2019.07.10	15:00:00	26852.0	26983.5	26852.0	26855.3	4913	0	0
2019.07.10	18:00:00	26855.4	26913.4	26813.1	26902.0	8358	0	0
2019.07.10	21:00:00	26902.2	26928.2	26843.8	26860.2	5808	0	0
2019.07.11	15:00:00	26950.2	27007.9	26916.3	26988.8	4952	0	0
2019.07.11	18:00:00	26988.7	27072.1	26982.1	27010.2	9005	0	0
2019.07.11	21:00:00	27010.6	27088.5	26987.1	27088.1	6027	0	0
2019.07.12	15:00:00	27139.5	27248.7	27135.5	27205.9	4896	0	0
2019.07.12	18:00:00	27206.1	27256.7	27196.6	27235.7	9022	0	0
2019.07.12	21:00:00	27235.2	27333.8	27235.2	27332.0	5854	0	0
2019.07.15	15:00:00	27364.7	27364.7	27296.2	27331.9	4936	0	0
2019.07.15	18:00:00	27333.9	27343.8	27294.2	27305.4	8406	0	0
2019.07.15	21:00:00	27305.2	27359.2	27304.7	27359.2	5512	0	0
2019.07.16	15:00:00	27349.3	27398.7	27329.8	27388.2	4789	0	0
2019.07.16	18:00:00	27388.1	27394.2	27290.2	27333.8	8883	0	0
2019.07.16	21:00:00	27333.5	27377.5	27328.5	27335.6	5877	0	0
2019.07.17	15:00:00	27320.9	27343.1	27240.1	27273.3	4889	0	0
2019.07.17	18:00:00	27273.1	27315.0	27266.3	27297.3	8508	0	0
2019.07.17	21:00:00	27297.7	27298.3	27218.4	27219.8	5754	0	0
2019.07.18	15:00:00	27192.0	27215.0	27134.4	27173.4	4945	0	0
2019.07.18	18:00:00	27173.9	27182.7	27068.8	27133.1	8866	0	0
2019.07.18	21:00:00	27133.2	27266.8	27131.4	27223.0	5972	0	0
2019.07.19	15:00:00	27246.4	27343.0	27246.4	27283.0	4967	0	0
2019.07.19	18:00:00	27283.6	27327.0	27240.2	27299.1	8863	0	0
2019.07.19	21:00:00	27299.5	27316.0	27145.8	27154.2	6155	0	0
2019.07.22	15:00:00	27174.2	27227.8	27088.9	27113.8	4931	0	0
2019.07.22	18:00:00	27114.3	27177.3	27105.2	27172.3	8516	0	0
2019.07.22	21:00:00	27171.7	27214.3	27146.2	27171.9	5714	0	0
2019.07.23	15:00:00	27231.9	27300.5	27223.8	27266.7	4948	0	0
2019.07.23	18:00:00	27266.4	27351.0	27204.6	27339.4	8874	0	0
2019.07.23	21:00:00	27339.2	27368.8	27314.4	27349.2	5884	0	0
2019.07.24	15:00:00	27262.2	27291.0	27191.1	27230.7	5015	0	0
2019.07.24	18:00:00	27230.6	27244.8	27198.2	27225.8	8955	0	0
2019.07.24	21:00:00	27225.7	27270.1	27215.5	27270.0	5852	0	0
2019.07.25	15:00:00	27247.4	27298.4	27119.9	27199.0	5079	0	0
2019.07.25	18:00:00	27199.3	27219.9	27062.5	27104.3	9143	0	0
2019.07.25	21:00:00	27104.4	27156.6	27080.1	27141.0	5981	0	0
2019.07.26	15:00:00	27166.0	27199.2	27123.3	27145.0	4890	0	0
2019.07.26	18:00:00	27145.4	27183.9	27133.5	27156.9	8478	0	0
2019.07.26	21:00:00	27156.8	27213.7	27147.5	27192.5	5637	0	0
2019.07.29	15:00:00	27192.2	27243.5	27178.1	27238.0	4842	0	0
2019.07.29	18:00:00	27237.9	27275.8	27225.4	27244.9	8639	0	0
2019.07.29	21:00:00	27245.0	27252.3	27214.3	27221.3	5680	0	0
2019.07.30	15:00:00	27145.4	27177.2	27069.9	27171.9	4921	0	0
2019.07.30	18:00:00	27171.8	27207.1	27146.3	27174.5	8630	0	0
2019.07.30	21:00:00	27174.3	27224.4	27161.3	27198.0	5837	0	0
2019.07.31	15:00:00	27244.7	27281.7	27176.2	27195.3	4850	0	0
2019.07.31	18:00:00	27195.7	27227.9	27185.5	27212.4	8662	0	0
2019.07.31	21:00:00	27211.7	27211.7	26719.6	26864.3	6129	0	0
2019.08.01	15:00:00	26879.9	27129.7	26860.0	27125.2	4977	0	0
2019.08.01	18:00:00	27128.0	27175.6	26651.2	26752.4	9234	0	0
2019.08.01	21:00:00	26747.3	26754.0	26548.7	26583.4	6819	0	0
2019.08.02	15:00:00	26528.7	26535.8	26256.7	26256.7	5083	0	0
2019.08.02	18:00:00	26256.9	26427.9	26249.2	26345.5	9496	0	0
