<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.01	00:00:00	1.13670	1.13707	1.13585	1.13597	4202	0	8
2019.07.01	03:00:00	1.13597	1.13636	1.13476	1.13517	5060	0	8
2019.07.01	06:00:00	1.13518	1.13530	1.13213	1.13281	4461	0	4
2019.07.01	09:00:00	1.13281	1.13329	1.13161	1.13303	12196	0	8
2019.07.01	12:00:00	1.13302	1.13597	1.13205	1.13473	10110	0	8
2019.07.01	15:00:00	1.13474	1.13558	1.13208	1.13239	12067	0	5
2019.07.01	18:00:00	1.13239	1.13248	1.12806	1.12829	8962	0	8
2019.07.01	21:00:00	1.12829	1.12887	1.12818	1.12851	3381	0	2
2019.07.02	00:00:00	1.12850	1.12891	1.12798	1.12864	2336	0	5
2019.07.02	03:00:00	1.12864	1.12871	1.12748	1.12794	2959	0	5
2019.07.02	06:00:00	1.12794	1.12915	1.12775	1.12906	2645	0	5
2019.07.02	09:00:00	1.12906	1.12992	1.12853	1.12932	8038	0	8
2019.07.02	12:00:00	1.12932	1.13212	1.12890	1.12958	9661	0	8
2019.07.02	15:00:00	1.12958	1.13027	1.12857	1.12942	8157	0	8
2019.07.02	18:00:00	1.12942	1.13116	1.12912	1.13008	8831	0	8
2019.07.02	21:00:00	1.13008	1.13008	1.12818	1.12857	4919	0	3
2019.07.03	00:00:00	1.12847	1.12918	1.12836	1.12900	2268	0	2
2019.07.03	03:00:00	1.12901	1.12948	1.12856	1.12914	3997	0	8
2019.07.03	06:00:00	1.12914	1.12930	1.12846	1.12891	2906	0	5
2019.07.03	09:00:00	1.12891	1.12894	1.12682	1.12880	9234	0	8
2019.07.03	12:00:00	1.12879	1.12995	1.12828	1.12907	7284	0	8
2019.07.03	15:00:00	1.12907	1.13111	1.12763	1.12807	15068	0	8
2019.07.03	18:00:00	1.12807	1.12844	1.12715	1.12785	6114	0	8
2019.07.03	21:00:00	1.12785	1.12805	1.12753	1.12774	1575	0	3
2019.07.04	00:00:00	1.12777	1.12879	1.12768	1.12869	1330	0	2
2019.07.04	03:00:00	1.12869	1.12947	1.12818	1.12832	2063	0	8
2019.07.04	06:00:00	1.12832	1.12868	1.12814	1.12834	1475	0	4
2019.07.04	09:00:00	1.12834	1.12895	1.12786	1.12794	4628	0	8
2019.07.04	12:00:00	1.12794	1.12897	1.12769	1.12861	4299	0	8
2019.07.04	15:00:00	1.12861	1.12883	1.12727	1.12813	3459	0	8
2019.07.04	18:00:00	1.12813	1.12844	1.12789	1.12821	1677	0	4
2019.07.04	21:00:00	1.12821	1.12853	1.12821	1.12847	951	0	3
2019.07.05	00:00:00	1.12837	1.12874	1.12821	1.12849	1110	0	3
2019.07.05	03:00:00	1.12849	1.12857	1.12774	1.12814	1704	0	3
2019.07.05	06:00:00	1.12814	1.12841	1.12775	1.12787	1623	0	4
2019.07.05	09:00:00	1.12788	1.12813	1.12609	1.12619	7020	0	8
2019.07.05	12:00:00	1.12619	1.12678	1.12554	1.12583	6191	0	8
2019.07.05	15:00:00	1.12583	1.12701	1.12070	1.12218	20204	0	8
2019.07.05	18:00:00	1.12218	1.12233	1.12076	1.12181	6716	0	8
2019.07.05	21:00:00	1.12181	1.12278	1.12171	1.12248	2897	0	6
2019.07.08	00:00:00	1.12240	1.12292	1.12236	1.12267	1641	0	2
2019.07.08	03:00:00	1.12267	1.12297	1.12196	1.12259	2711	0	2
2019.07.08	06:00:00	1.12260	1.12326	1.12250	1.12298	2048	0	2
2019.07.08	09:00:00	1.12297	1.12343	1.12194	1.12314	5526	0	2
2019.07.08	12:00:00	1.12313	1.12326	1.12132	1.12207	4278	0	2
2019.07.08	15:00:00	1.12207	1.12269	1.12095	1.12148	7452	0	2
2019.07.08	18:00:00	1.12148	1.12207	1.12069	1.12152	4327	0	2
2019.07.08	21:00:00	1.12152	1.12168	1.12082	1.12142	2656	0	1
2019.07.09	00:00:00	1.12141	1.12174	1.12132	1.12150	1473	0	2
2019.07.09	03:00:00	1.12150	1.12187	1.12096	1.12120	2032	0	2
2019.07.09	06:00:00	1.12120	1.12181	1.12106	1.12137	1564	0	2
