<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.01	00:00:00	2968.10	2972.90	2965.50	2966.88	3406	0	69
2019.07.01	03:00:00	2966.86	2967.18	2958.88	2964.90	6048	0	69
2019.07.01	06:00:00	2964.88	2973.90	2963.64	2973.36	3743	0	69
2019.07.01	09:00:00	2973.40	2976.08	2970.98	2971.30	7541	0	70
2019.07.01	12:00:00	2971.30	2975.02	2969.32	2972.88	4289	0	70
2019.07.01	15:00:00	2972.96	2977.30	2963.01	2965.50	14048	0	69
2019.07.01	18:00:00	2965.78	2967.38	2952.76	2956.62	12587	0	69
2019.07.01	21:00:00	2956.72	2965.32	2951.10	2963.26	8100	0	69
2019.07.02	00:00:00	2964.24	2964.24	2955.38	2959.40	2188	0	69
2019.07.02	03:00:00	2959.42	2966.10	2959.40	2965.20	5162	0	69
2019.07.02	06:00:00	2965.10	2967.10	2963.64	2964.86	2911	0	69
2019.07.02	09:00:00	2964.75	2967.38	2956.70	2958.60	4903	0	69
2019.07.02	12:00:00	2958.56	2962.36	2957.70	2960.50	4102	0	70
2019.07.02	15:00:00	2960.56	2968.56	2958.70	2966.01	11651	0	69
2019.07.02	18:00:00	2966.01	2966.76	2954.18	2962.76	7296	0	69
2019.07.02	21:00:00	2962.86	2975.36	2961.51	2974.50	5696	0	69
2019.07.03	00:00:00	2974.48	2974.98	2971.94	2973.23	1163	0	69
2019.07.03	03:00:00	2973.23	2973.54	2969.12	2970.28	4586	0	69
2019.07.03	06:00:00	2970.18	2973.48	2969.34	2973.23	2960	0	69
2019.07.03	09:00:00	2973.25	2981.76	2971.44	2981.42	4729	0	69
2019.07.03	12:00:00	2981.44	2983.50	2980.58	2980.75	3517	0	69
2019.07.03	15:00:00	2980.75	2986.84	2977.01	2985.84	7930	0	69
2019.07.03	18:00:00	2985.76	2996.34	2983.36	2996.34	4565	0	69
2019.07.04	00:00:00	2997.60	2998.70	2994.30	2995.20	1637	0	69
2019.07.04	03:00:00	2995.22	2996.24	2993.36	2993.68	4720	0	69
2019.07.04	06:00:00	2993.52	2995.72	2993.40	2994.84	2245	0	69
2019.07.04	09:00:00	2994.88	2995.68	2992.92	2994.34	4568	0	69
2019.07.04	12:00:00	2994.25	2996.78	2994.06	2996.54	3247	0	70
2019.07.04	15:00:00	2996.28	2999.20	2995.75	2998.80	4078	0	69
2019.07.04	18:00:00	2998.74	2998.86	2997.10	2997.84	1747	0	69
2019.07.05	00:00:00	2998.12	2999.08	2997.70	2998.26	1115	0	69
