<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.01	00:00:00	1391.670	1397.720	1389.010	1392.020	8398	0	150
2019.07.01	03:00:00	1392.020	1397.090	1390.170	1391.270	14097	0	150
2019.07.01	06:00:00	1391.270	1392.810	1385.140	1386.060	9021	0	150
2019.07.01	09:00:00	1386.050	1389.270	1381.670	1388.330	15138	0	150
2019.07.01	12:00:00	1388.330	1393.320	1388.130	1391.990	7062	0	100
2019.07.01	15:00:00	1391.900	1396.350	1388.640	1394.820	16404	0	90
2019.07.01	18:00:00	1394.820	1395.620	1385.150	1385.880	14615	0	90
2019.07.01	21:00:00	1385.880	1386.650	1382.830	1383.750	6749	0	100
2019.07.02	00:00:00	1384.640	1388.550	1384.050	1385.500	3653	0	100
2019.07.02	03:00:00	1385.500	1391.480	1383.860	1389.080	9027	0	90
2019.07.02	06:00:00	1389.040	1393.220	1388.510	1391.450	4468	0	100
2019.07.02	09:00:00	1391.530	1394.460	1388.990	1393.570	8446	0	90
2019.07.02	12:00:00	1393.570	1394.620	1391.170	1392.690	7746	0	90
2019.07.02	15:00:00	1392.690	1395.480	1389.860	1394.080	16659	0	90
2019.07.02	18:00:00	1394.080	1407.780	1393.740	1405.040	19655	0	90
2019.07.02	21:00:00	1405.040	1420.990	1404.900	1418.000	9326	0	90
2019.07.03	03:00:00	1421.940	1424.350	1421.350	1423.440	1184	0	90
2019.07.03	06:00:00	1423.440	1428.730	1421.820	1426.060	11768	0	90
2019.07.03	09:00:00	1426.060	1428.050	1422.320	1424.970	12132	0	90
2019.07.03	12:00:00	1424.960	1426.330	1417.600	1419.290	8462	0	90
2019.07.03	15:00:00	1419.300	1422.460	1412.000	1418.840	23679	0	90
2019.07.03	18:00:00	1418.840	1420.860	1414.950	1417.960	9191	0	90
2019.07.03	21:00:00	1417.950	1419.280	1416.930	1418.410	2280	0	100
2019.07.04	00:00:00	1420.140	1420.730	1415.020	1418.420	2983	0	90
2019.07.04	03:00:00	1418.420	1421.640	1416.350	1419.540	7670	0	90
2019.07.04	06:00:00	1419.520	1421.070	1413.780	1416.280	5372	0	90
2019.07.04	09:00:00	1416.280	1416.580	1410.160	1412.010	7319	0	100
2019.07.04	12:00:00	1412.010	1416.200	1412.010	1414.560	4555	0	100
2019.07.04	15:00:00	1414.560	1417.410	1412.730	1416.400	6870	0	100
2019.07.04	18:00:00	1416.400	1416.700	1414.480	1415.320	2916	0	110
2019.07.05	00:00:00	1416.420	1424.180	1415.970	1420.930	4191	0	90
2019.07.05	03:00:00	1420.960	1421.360	1414.480	1417.380	8272	0	90
2019.07.05	06:00:00	1417.380	1418.720	1414.950	1415.980	4266	0	90
2019.07.05	09:00:00	1415.980	1416.580	1412.160	1414.030	8148	0	90
2019.07.05	12:00:00	1414.130	1416.200	1409.830	1411.520	4724	0	100
2019.07.05	15:00:00	1411.520	1414.480	1410.300	1413.610	2678	0	100
2019.07.08	00:00:00	1399.120	1399.250	1392.700	1395.660	4714	0	90
2019.07.08	03:00:00	1395.660	1400.190	1395.260	1397.830	8200	0	90
2019.07.08	06:00:00	1397.830	1405.700	1397.710	1404.680	5750	0	90
2019.07.08	09:00:00	1404.680	1407.560	1402.740	1405.860	8661	0	90
2019.07.08	12:00:00	1405.920	1406.420	1403.660	1405.650	4889	0	90
2019.07.08	15:00:00	1405.650	1407.050	1395.470	1396.580	14763	0	90
2019.07.08	18:00:00	1396.580	1398.940	1393.760	1396.440	8276	0	90
2019.07.08	21:00:00	1396.480	1397.640	1391.710	1395.280	3445	0	90
2019.07.09	00:00:00	1395.430	1395.990	1392.680	1394.290	2389	0	130
2019.07.09	03:00:00	1394.290	1395.740	1390.500	1394.390	5660	0	100
2019.07.09	06:00:00	1394.390	1396.440	1393.500	1394.390	3314	0	100
2019.07.09	09:00:00	1394.430	1395.270	1385.720	1387.440	9608	0	90
2019.07.09	12:00:00	1387.520	1392.790	1386.490	1391.700	6128	0	90
