Timestamp,EURUSD,GBPUSD,USDJPY,XAUUSD,DJI,DXY,NDXT,SP500
2019.01.02-16:00:00,1.13606,1.26062,109.334,1283.6,23070.5,96.71,6248.9,2478.91
2019.01.02-17:00:00,1.13534,1.25994,109.279,1285.77,23217.8,96.77,6311.9,2496.0
2019.01.02-18:00:00,1.13562,1.25971,109.21700000000001,1285.19,23209.1,96.78,6309.25,2496.51
2019.01.02-19:00:00,1.13351,1.25861,109.44,1284.02,23327.7,96.89,6358.75,2509.25
2019.01.02-20:00:00,1.13278,1.25919,109.447,1279.27,23412.3,96.93,6392.65,2519.25
2019.01.02-21:00:00,1.13435,1.26115,109.19200000000001,1281.49,23267.7,96.86,6358.1,2506.17
2019.01.02-22:00:00,1.1345399999999999,1.2611,109.07700000000001,1283.17,23340.7,96.79,6359.36,2510.15
2019.01.02-23:00:00,1.1344299999999998,1.26044,108.87,1284.6,23346.2,96.78,6249.25,2488.97
2019.01.03-00:00:00,1.1350200000000001,1.24686,106.69200000000001,1284.6,23346.2,96.68,6249.25,2488.97
2019.01.03-01:00:00,1.1312200000000001,1.25149,107.42299999999999,1285.8,23346.2,96.82,6203.5,2473.9
2019.01.03-02:00:00,1.13395,1.25473,107.64,1286.67,23346.2,96.68,6210.4,2474.53
2019.01.03-03:00:00,1.13483,1.25472,107.53200000000001,1288.27,23346.2,96.68,6233.36,2482.57
2019.01.03-04:00:00,1.13581,1.25457,107.131,1288.47,23346.2,96.57,6218.73,2477.03
2019.01.03-05:00:00,1.13646,1.25491,107.154,1287.84,23346.2,96.53,6218.24,2477.67
2019.01.03-06:00:00,1.1367200000000002,1.25479,107.15100000000001,1288.35,23346.2,96.55,6218.8,2476.6
2019.01.03-07:00:00,1.13608,1.2545600000000001,106.96600000000001,1289.95,23346.2,96.55,6197.95,2472.55
2019.01.03-08:00:00,1.13721,1.25531,106.84700000000001,1292.03,23346.2,96.49,6196.12,2471.05
2019.01.03-09:00:00,1.13694,1.2551700000000001,107.54899999999999,1289.59,23346.2,96.55,6198.78,2473.85
2019.01.03-10:00:00,1.13798,1.25668,107.64299999999999,1289.65,23346.2,96.5,6190.52,2473.67
2019.01.03-11:00:00,1.13757,1.25803,107.656,1288.03,23346.2,96.48,6185.97,2469.83
2019.01.03-12:00:00,1.13681,1.25689,107.634,1288.1,23346.2,96.54,6185.9,2468.43
2019.01.03-13:00:00,1.1341299999999999,1.25579,107.54899999999999,1287.16,23346.2,96.7,6194.02,2470.15
2019.01.03-14:00:00,1.1343299999999998,1.256,107.66,1287.99,23346.2,96.67,6233.78,2479.8
2019.01.03-15:00:00,1.13652,1.25899,107.744,1287.72,23346.2,96.55,6256.67,2487.95
2019.01.03-16:00:00,1.13638,1.2576100000000001,107.641,1287.71,23029.3,96.53,6238.7,2478.31
2019.01.03-17:00:00,1.13926,1.26005,107.54,1289.68,22779.6,96.34,6199.34,2459.87
2019.01.03-18:00:00,1.13982,1.26312,108.09299999999999,1289.21,22950.4,96.36,6240.15,2477.35
2019.01.03-19:00:00,1.13986,1.26427,108.022,1290.36,22948.7,96.28,6232.6,2476.35
2019.01.03-20:00:00,1.14005,1.26322,107.837,1291.09,22773.3,96.27,6172.46,2457.7
2019.01.03-21:00:00,1.1391200000000001,1.2631299999999999,107.73100000000001,1293.33,22742.9,96.31,6165.53,2454.77
2019.01.03-22:00:00,1.13982,1.26345,107.516,1295.01,22683.6,96.25,6142.85,2446.95
2019.01.03-23:00:00,1.13923,1.26309,107.64299999999999,1293.97,22686.2,96.27,6157.69,2450.13
2019.01.04-00:00:00,1.13929,1.26325,107.67,1293.97,22686.2,96.28,6157.69,2450.13
2019.01.04-01:00:00,1.1389799999999999,1.26271,107.848,1295.15,22686.2,96.31,6154.54,2448.15
2019.01.04-02:00:00,1.14052,1.26385,107.51700000000001,1296.78,22686.2,96.26,6133.33,2440.69
2019.01.04-03:00:00,1.14039,1.26405,107.837,1296.92,22686.2,96.22,6157.55,2448.09
2019.01.04-04:00:00,1.13976,1.26369,108.109,1296.71,22686.2,96.3,6175.61,2454.45
2019.01.04-05:00:00,1.1397899999999999,1.26413,108.32600000000001,1295.51,22686.2,96.34,6182.89,2457.69
2019.01.04-06:00:00,1.1394,1.26366,108.331,1294.41,22686.2,96.35,6191.43,2459.69
2019.01.04-07:00:00,1.13899,1.2634,108.251,1295.43,22686.2,96.34,6198.35,2462.29
2019.01.04-08:00:00,1.13931,1.26352,108.18299999999999,1294.26,22686.2,96.37,6222.86,2469.81
2019.01.04-09:00:00,1.14075,1.26501,107.846,1294.53,22686.2,96.23,6230.98,2471.15
2019.01.04-10:00:00,1.14079,1.26692,108.03299999999999,1291.74,22686.2,96.16,6230.05,2472.03
2019.01.04-11:00:00,1.1403,1.26714,108.027,1290.06,22686.2,96.18,6245.61,2476.7
2019.01.04-12:00:00,1.14039,1.2676399999999999,107.964,1291.05,22686.2,96.23,6263.3,2481.95
2019.01.04-13:00:00,1.14114,1.26668,107.98700000000001,1291.25,22686.2,96.15,6260.66,2481.75
2019.01.04-14:00:00,1.14057,1.2669,108.001,1291.07,22686.2,96.17,6238.85,2478.11
2019.01.04-15:00:00,1.1371200000000001,1.2643,108.29799999999999,1287.61,22686.2,96.44,6236.37,2477.85
2019.01.04-16:00:00,1.13535,1.26288,108.47,1277.77,23147.8,96.61,6294.54,2497.47
2019.01.04-17:00:00,1.1410200000000001,1.2723,108.10600000000001,1283.56,23312.6,96.25,6372.3,2517.2
2019.01.04-18:00:00,1.14087,1.2736299999999998,108.287,1285.49,23328.7,96.12,6390.23,2518.63
2019.01.04-19:00:00,1.1405299999999998,1.27257,108.447,1284.3,23454.6,96.2,6417.81,2531.25
2019.01.04-20:00:00,1.14039,1.27338,108.431,1283.43,23422.3,96.14,6424.45,2528.57
2019.01.04-21:00:00,1.14,1.2741799999999999,108.51,1284.21,23378.5,96.19,6402.2,2523.6
2019.01.04-22:00:00,1.1403,1.27372,108.45299999999999,1284.88,23426.7,96.21,6420.96,2531.25
2019.01.04-23:00:00,1.13931,1.27159,108.434,1284.53,23433.2,96.19,6417.25,2529.81
2019.01.07-00:00:00,1.14046,1.2718200000000002,108.465,1284.53,23433.2,96.19,6417.25,2529.81
2019.01.07-01:00:00,1.14101,1.27318,108.54700000000001,1284.17,23433.2,96.12,6436.5,2537.35
2019.01.07-02:00:00,1.14091,1.27349,108.473,1284.88,23433.2,96.1,6458.5,2543.13
2019.01.07-03:00:00,1.14211,1.2742,108.367,1288.8,23433.2,96.02,6447.42,2540.35
2019.01.07-04:00:00,1.142,1.27429,108.23299999999999,1289.19,23433.2,96.01,6441.0,2537.7
2019.01.07-05:00:00,1.14225,1.27481,108.134,1288.77,23433.2,95.98,6445.4,2539.11
2019.01.07-06:00:00,1.14201,1.2744799999999998,108.29899999999999,1288.79,23433.2,95.98,6441.05,2537.95
2019.01.07-07:00:00,1.1423299999999998,1.27483,108.19,1291.42,23433.2,96.0,6439.3,2535.17
2019.01.07-08:00:00,1.14165,1.27465,108.20700000000001,1289.76,23433.2,96.02,6439.3,2537.27
2019.01.07-09:00:00,1.14361,1.27483,108.184,1291.38,23433.2,95.99,6447.14,2539.23
2019.01.07-10:00:00,1.14313,1.27272,108.193,1290.77,23433.2,95.98,6413.47,2531.17
2019.01.07-11:00:00,1.14412,1.275,108.195,1291.28,23433.2,95.86,6406.61,2526.35
2019.01.07-12:00:00,1.14386,1.27309,108.34899999999999,1290.84,23433.2,95.93,6412.15,2528.85
2019.01.07-13:00:00,1.14404,1.27541,108.354,1290.87,23433.2,95.92,6402.06,2527.41
2019.01.07-14:00:00,1.14391,1.27471,108.258,1292.2,23433.2,95.87,6419.07,2531.69
2019.01.07-15:00:00,1.1457600000000001,1.27649,108.353,1292.32,23433.2,95.83,6408.01,2527.95
2019.01.07-16:00:00,1.1469200000000002,1.27755,108.29700000000001,1291.16,23386.5,95.71,6430.9,2532.1
2019.01.07-17:00:00,1.14634,1.27712,108.43299999999999,1288.78,23384.8,95.75,6463.8,2546.17
2019.01.07-18:00:00,1.14673,1.27565,108.62,1287.69,23629.4,95.72,6506.15,2560.85
2019.01.07-19:00:00,1.14688,1.27741,108.603,1288.17,23627.2,95.72,6511.26,2561.75
2019.01.07-20:00:00,1.14741,1.2767700000000002,108.566,1288.16,23574.9,95.66,6496.15,2555.6
2019.01.07-21:00:00,1.14793,1.2769700000000002,108.594,1288.29,23509.1,95.68,6472.9,2547.91
2019.01.07-22:00:00,1.14768,1.2769700000000002,108.705,1288.73,23527.1,95.69,6488.44,2549.93
2019.01.07-23:00:00,1.14739,1.27739,108.71,1288.72,23531.3,95.71,6489.35,2552.43
2019.01.08-00:00:00,1.14749,1.27824,108.65299999999999,1288.72,23531.3,95.67,6489.35,2552.43
2019.01.08-01:00:00,1.1478899999999999,1.27849,108.624,1288.8,23531.3,95.67,6482.0,2550.67
2019.01.08-02:00:00,1.14677,1.2778200000000002,108.73299999999999,1288.99,23531.3,95.7,6500.06,2557.21
2019.01.08-03:00:00,1.14481,1.2765,108.55799999999999,1286.23,23531.3,95.8,6496.4,2556.11
2019.01.08-04:00:00,1.1450200000000001,1.27711,108.71,1285.17,23531.3,95.82,6508.1,2559.37
2019.01.08-05:00:00,1.14385,1.27579,108.875,1283.74,23531.3,95.92,6504.6,2558.87
2019.01.08-06:00:00,1.14386,1.2759,108.985,1282.93,23531.3,95.92,6514.2,2562.31
2019.01.08-07:00:00,1.14436,1.2763,108.78200000000001,1282.97,23531.3,95.88,6495.09,2554.99
2019.01.08-08:00:00,1.14458,1.27684,108.881,1283.33,23531.3,95.85,6503.35,2557.23
2019.01.08-09:00:00,1.14437,1.2762200000000001,108.977,1282.68,23531.3,95.91,6490.65,2553.77
2019.01.08-10:00:00,1.14487,1.2778200000000002,108.91,1283.04,23531.3,95.85,6517.21,2563.55
2019.01.08-11:00:00,1.1451799999999999,1.27664,108.87100000000001,1283.46,23531.3,95.8,6510.6,2561.03
2019.01.08-12:00:00,1.14455,1.27575,108.71600000000001,1283.46,23531.3,95.85,6524.63,2566.41
2019.01.08-13:00:00,1.14655,1.27735,108.72399999999999,1283.26,23531.3,95.77,6536.7,2569.59
2019.01.08-14:00:00,1.14496,1.27478,108.76299999999999,1282.37,23531.3,95.87,6530.51,2567.15
2019.01.08-15:00:00,1.14273,1.27349,108.87100000000001,1280.62,23531.3,95.93,6545.45,2573.8
2019.01.08-16:00:00,1.14383,1.2725899999999999,108.859,1284.85,23767.5,95.97,6527.4,2569.55
2019.01.08-17:00:00,1.14415,1.27308,108.61399999999999,1284.99,23618.9,95.94,6469.89,2552.27
2019.01.08-18:00:00,1.1443,1.2722,108.581,1284.35,23686.7,95.91,6505.9,2560.15
2019.01.08-19:00:00,1.14541,1.27229,108.586,1286.35,23673.3,95.84,6507.9,2559.27
2019.01.08-20:00:00,1.14408,1.2711700000000001,108.641,1284.89,23772.9,95.88,6541.35,2569.25
2019.01.08-21:00:00,1.1442,1.27177,108.647,1285.09,23764.8,95.9,6542.62,2569.65
2019.01.08-22:00:00,1.14402,1.27197,108.76100000000001,1285.24,23786.2,95.92,6549.48,2574.15
2019.01.08-23:00:00,1.14404,1.27136,108.719,1285.04,23787.5,95.94,6535.83,2569.69
2019.01.09-00:00:00,1.1440299999999999,1.2711,108.78,1285.04,23787.5,95.94,6535.83,2569.69
2019.01.09-01:00:00,1.14572,1.2738399999999999,108.749,1285.08,23787.5,95.9,6556.34,2576.33
2019.01.09-02:00:00,1.1455899999999999,1.27375,108.71,1285.27,23787.5,95.81,6555.29,2575.15
2019.01.09-03:00:00,1.14574,1.27372,108.788,1285.75,23787.5,95.75,6580.35,2582.8
2019.01.09-04:00:00,1.14514,1.27352,108.906,1284.03,23787.5,95.83,6586.7,2583.23
2019.01.09-05:00:00,1.14542,1.27354,108.896,1283.2,23787.5,95.8,6587.21,2583.7
2019.01.09-06:00:00,1.1459700000000002,1.27426,108.86200000000001,1282.07,23787.5,95.81,6583.2,2583.03
2019.01.09-07:00:00,1.14604,1.2741799999999999,108.851,1282.51,23787.5,95.76,6582.59,2582.89
2019.01.09-08:00:00,1.14586,1.27344,108.83200000000001,1282.24,23787.5,95.78,6562.71,2577.91
2019.01.09-09:00:00,1.1465299999999998,1.27316,108.911,1282.43,23787.5,95.69,6553.9,2576.07
2019.01.09-10:00:00,1.14629,1.27675,108.869,1282.68,23787.5,95.69,6570.15,2581.05
2019.01.09-11:00:00,1.14604,1.27528,108.905,1281.11,23787.5,95.78,6573.84,2582.11
2019.01.09-12:00:00,1.14521,1.27261,108.885,1280.79,23787.5,95.89,6571.2,2580.55
2019.01.09-13:00:00,1.14561,1.27346,108.911,1281.56,23787.5,95.82,6567.15,2578.39
2019.01.09-14:00:00,1.1450200000000001,1.27414,108.88,1281.46,23787.5,95.83,6571.39,2580.4
2019.01.09-15:00:00,1.14621,1.2736100000000001,108.74700000000001,1284.59,23787.5,95.76,6573.05,2583.3
2019.01.09-16:00:00,1.15238,1.2781,108.444,1288.37,23955.7,95.39,6591.9,2587.2
2019.01.09-17:00:00,1.15101,1.27421,108.186,1290.01,23854.0,95.38,6567.82,2575.65
2019.01.09-18:00:00,1.15239,1.2762200000000001,108.389,1288.49,23937.0,95.31,6600.65,2588.09
2019.01.09-19:00:00,1.15324,1.2775299999999998,108.314,1289.88,23964.0,95.31,6616.05,2593.8
2019.01.09-20:00:00,1.15361,1.27821,108.265,1290.83,23917.3,95.23,6606.95,2588.05
2019.01.09-21:00:00,1.15428,1.27941,108.277,1291.64,23917.6,95.26,6607.65,2588.2
2019.01.09-22:00:00,1.1554200000000001,1.28024,108.00200000000001,1293.63,23876.8,95.15,6598.9,2585.05
2019.01.09-23:00:00,1.15411,1.2787899999999999,108.162,1293.075,23879.1,95.2,6588.7,2580.95
2019.01.10-00:00:00,1.15483,1.27967,108.154,1293.075,23879.1,95.18,6588.7,2580.95
2019.01.10-01:00:00,1.15539,1.2798200000000002,108.18299999999999,1292.89,23879.1,95.22,6578.15,2577.53
2019.01.10-02:00:00,1.15553,1.2794,108.012,1293.13,23879.1,95.13,6562.15,2572.65
2019.01.10-03:00:00,1.15537,1.2785,107.96700000000001,1292.55,23879.1,95.17,6557.39,2570.31
2019.01.10-04:00:00,1.15544,1.2782,107.97,1294.67,23879.1,95.14,6548.85,2567.15
2019.01.10-05:00:00,1.15691,1.27959,107.87200000000001,1296.88,23879.1,95.04,6563.2,2572.0
2019.01.10-06:00:00,1.15584,1.27829,107.973,1295.68,23879.1,95.11,6568.24,2573.15
2019.01.10-07:00:00,1.15603,1.2786799999999998,107.90700000000001,1296.19,23879.1,95.12,6553.12,2568.37
2019.01.10-08:00:00,1.1551799999999999,1.27797,107.821,1295.1,23879.1,95.09,6550.11,2567.77
2019.01.10-09:00:00,1.15408,1.2761200000000001,107.919,1295.36,23879.1,95.22,6543.6,2565.89
2019.01.10-10:00:00,1.15286,1.27488,108.04,1294.47,23879.1,95.21,6535.2,2562.91
2019.01.10-11:00:00,1.15241,1.27627,108.09100000000001,1292.96,23879.1,95.34,6543.39,2565.79
2019.01.10-12:00:00,1.15275,1.2750299999999999,108.12899999999999,1292.95,23879.1,95.34,6544.02,2565.75
2019.01.10-13:00:00,1.15291,1.2741200000000001,108.02799999999999,1293.04,23879.1,95.29,6547.45,2567.25
2019.01.10-14:00:00,1.15337,1.2747,108.07799999999999,1293.78,23879.1,95.3,6552.91,2570.5
2019.01.10-15:00:00,1.15202,1.27619,108.19,1289.81,23879.1,95.3,6549.05,2568.45
2019.01.10-16:00:00,1.15255,1.2757,108.005,1291.71,23740.2,95.35,6524.85,2565.25
2019.01.10-17:00:00,1.15225,1.27786,108.199,1290.06,23872.4,95.39,6581.75,2581.35
2019.01.10-18:00:00,1.15163,1.27661,108.288,1288.99,23924.9,95.42,6589.9,2587.19
2019.01.10-19:00:00,1.15056,1.2750299999999999,108.389,1287.88,23943.3,95.49,6604.2,2588.8
2019.01.10-20:00:00,1.14978,1.27468,108.34100000000001,1287.74,23857.2,95.51,6573.35,2580.43
2019.01.10-21:00:00,1.1499700000000002,1.27452,108.414,1287.45,23928.6,95.51,6597.9,2588.97
2019.01.10-22:00:00,1.1497700000000002,1.2745,108.478,1286.22,24000.9,95.56,6616.12,2595.65
2019.01.10-23:00:00,1.14996,1.27451,108.426,1286.245,24001.9,95.56,6611.43,2593.43
2019.01.11-00:00:00,1.1496899999999999,1.27433,108.43,1286.245,24001.9,95.55,6611.43,2593.43
2019.01.11-01:00:00,1.1508,1.27526,108.28,1287.9,24001.9,95.54,6602.4,2590.39
2019.01.11-02:00:00,1.1511200000000001,1.27492,108.404,1287.88,24001.9,95.45,6606.95,2591.9
2019.01.11-03:00:00,1.1517600000000001,1.27552,108.39399999999999,1289.75,24001.9,95.4,6602.26,2591.29
2019.01.11-04:00:00,1.15218,1.27575,108.307,1290.95,24001.9,95.38,6598.35,2589.25
2019.01.11-05:00:00,1.15248,1.27596,108.294,1291.27,24001.9,95.37,6599.4,2590.59
2019.01.11-06:00:00,1.15288,1.2767,108.315,1292.73,24001.9,95.35,6600.35,2590.21
2019.01.11-07:00:00,1.15252,1.27607,108.29700000000001,1293.88,24001.9,95.34,6600.6,2589.61
2019.01.11-08:00:00,1.15225,1.27555,108.374,1293.08,24001.9,95.4,6606.53,2592.53
2019.01.11-09:00:00,1.1526,1.27515,108.32600000000001,1293.55,24001.9,95.37,6607.9,2592.67
2019.01.11-10:00:00,1.1529200000000002,1.27375,108.288,1292.84,24001.9,95.34,6613.11,2595.69
2019.01.11-11:00:00,1.1519700000000002,1.27521,108.333,1292.2,24001.9,95.39,6608.3,2593.93
2019.01.11-12:00:00,1.15345,1.28224,108.27799999999999,1293.11,24001.9,95.33,6600.5,2591.13
2019.01.11-13:00:00,1.15317,1.28233,108.307,1291.44,24001.9,95.27,6593.5,2589.13
2019.01.11-14:00:00,1.15278,1.2805,108.325,1291.99,24001.9,95.26,6584.34,2586.83
2019.01.11-15:00:00,1.15265,1.28233,108.20200000000001,1292.36,24001.9,95.29,6583.5,2584.71
2019.01.11-16:00:00,1.14696,1.27898,108.441,1288.49,23851.0,95.75,6573.25,2581.15
2019.01.11-17:00:00,1.14773,1.28223,108.402,1290.23,23910.8,95.62,6587.07,2587.53
2019.01.11-18:00:00,1.1478,1.28339,108.348,1289.37,23938.2,95.6,6584.97,2590.45
2019.01.11-19:00:00,1.1482299999999999,1.28588,108.405,1290.17,23960.1,95.53,6594.28,2593.67
2019.01.11-20:00:00,1.14706,1.28501,108.47,1288.53,23923.9,95.6,6575.03,2589.63
2019.01.11-21:00:00,1.14649,1.28449,108.491,1288.04,23924.0,95.67,6583.22,2588.95
2019.01.11-22:00:00,1.1462299999999999,1.28449,108.544,1288.3,23991.6,95.68,6597.01,2595.31
2019.01.11-23:00:00,1.1466100000000001,1.2833299999999999,108.39200000000001,1287.39,23996.0,95.7,6596.73,2594.31
2019.01.14-00:00:00,1.14644,1.28601,108.5,1287.39,23996.0,95.7,6596.73,2594.31
2019.01.14-01:00:00,1.14596,1.28477,108.45,1288.07,23996.0,95.68,6564.9,2583.05
2019.01.14-02:00:00,1.14626,1.2852299999999999,108.43700000000001,1289.0,23996.0,95.65,6567.6,2583.8
2019.01.14-03:00:00,1.14757,1.28568,108.20100000000001,1292.29,23996.0,95.58,6539.4,2575.2
2019.01.14-04:00:00,1.14665,1.28437,108.227,1290.21,23996.0,95.57,6536.74,2574.35
2019.01.14-05:00:00,1.1468399999999999,1.28429,108.149,1290.88,23996.0,95.57,6535.15,2574.65
2019.01.14-06:00:00,1.1475899999999999,1.2843,108.11200000000001,1290.46,23996.0,95.59,6536.39,2575.29
2019.01.14-07:00:00,1.14782,1.28501,108.105,1291.78,23996.0,95.54,6530.23,2573.65
2019.01.14-08:00:00,1.14741,1.28459,108.13,1291.37,23996.0,95.62,6528.4,2572.97
2019.01.14-09:00:00,1.14793,1.28389,108.09,1293.16,23996.0,95.63,6526.95,2572.13
2019.01.14-10:00:00,1.1475,1.28231,108.195,1293.66,23996.0,95.6,6535.9,2574.35
2019.01.14-11:00:00,1.1462299999999999,1.2834299999999998,108.14200000000001,1293.77,23996.0,95.64,6533.31,2572.51
2019.01.14-12:00:00,1.1461700000000001,1.28411,108.154,1295.14,23996.0,95.64,6518.9,2569.95
2019.01.14-13:00:00,1.1470200000000002,1.28741,108.09100000000001,1295.59,23996.0,95.56,6528.65,2573.2
2019.01.14-14:00:00,1.14677,1.28559,108.09899999999999,1295.2,23996.0,95.64,6526.94,2572.77
2019.01.14-15:00:00,1.14594,1.28449,108.195,1289.77,23996.0,95.66,6539.89,2575.49
2019.01.14-16:00:00,1.14655,1.28459,108.17200000000001,1292.1,23863.9,95.62,6518.2,2577.55
2019.01.14-17:00:00,1.1467200000000002,1.29106,108.319,1290.4,23898.0,95.59,6556.6,2584.67
2019.01.14-18:00:00,1.1479,1.28692,108.21799999999999,1290.55,23894.1,95.54,6551.8,2582.15
2019.01.14-19:00:00,1.14767,1.28891,108.181,1291.63,23928.5,95.52,6552.9,2584.67
2019.01.14-20:00:00,1.14695,1.28721,108.212,1291.55,23920.6,95.57,6554.4,2586.07
2019.01.14-21:00:00,1.1465299999999998,1.28651,108.199,1291.89,23956.0,95.59,6556.8,2587.75
2019.01.14-22:00:00,1.14685,1.28671,108.2,1291.52,23904.5,95.62,6538.77,2580.45
2019.01.14-23:00:00,1.1467399999999999,1.28564,108.152,1291.37,23909.8,95.59,6531.28,2580.75
2019.01.15-00:00:00,1.14659,1.2864200000000001,108.152,1291.37,23909.8,95.59,6531.28,2580.75
2019.01.15-01:00:00,1.14726,1.2874299999999999,108.236,1291.47,23909.8,95.61,6537.51,2582.75
2019.01.15-02:00:00,1.14765,1.28849,108.329,1291.16,23909.8,95.56,6552.49,2587.1
2019.01.15-03:00:00,1.14846,1.28979,108.40799999999999,1292.97,23909.8,95.48,6572.23,2593.37
2019.01.15-04:00:00,1.14832,1.2894700000000001,108.461,1292.53,23909.8,95.52,6574.25,2594.09
2019.01.15-05:00:00,1.1485100000000001,1.28998,108.551,1291.27,23909.8,95.52,6579.2,2596.0
2019.01.15-06:00:00,1.1479700000000002,1.2899200000000002,108.556,1291.17,23909.8,95.55,6578.7,2595.79
2019.01.15-07:00:00,1.14831,1.2915,108.712,1291.26,23909.8,95.55,6583.65,2597.23
2019.01.15-08:00:00,1.1475799999999998,1.29039,108.65100000000001,1290.65,23909.8,95.59,6583.92,2596.53
2019.01.15-09:00:00,1.14704,1.28819,108.647,1289.58,23909.8,95.58,6576.15,2593.91
2019.01.15-10:00:00,1.14609,1.28749,108.581,1288.86,23909.8,95.66,6567.4,2591.01
2019.01.15-11:00:00,1.14335,1.28665,108.561,1288.67,23909.8,95.86,6553.9,2585.47
2019.01.15-12:00:00,1.1429200000000002,1.28421,108.501,1288.99,23909.8,95.86,6563.55,2588.31
2019.01.15-13:00:00,1.14316,1.28619,108.37700000000001,1291.12,23909.8,95.87,6553.4,2582.67
2019.01.15-14:00:00,1.14297,1.2835299999999998,108.505,1290.78,23909.8,95.86,6558.95,2583.0
2019.01.15-15:00:00,1.14385,1.28518,108.35799999999999,1292.98,23909.8,95.81,6557.25,2582.79
2019.01.15-16:00:00,1.14539,1.2837,108.48,1294.36,23951.4,95.72,6629.4,2597.4
2019.01.15-17:00:00,1.14389,1.28086,108.51100000000001,1291.08,23997.7,95.83,6633.9,2601.55
2019.01.15-18:00:00,1.13923,1.27605,108.711,1287.82,24049.0,96.16,6661.0,2608.03
2019.01.15-19:00:00,1.13895,1.27302,108.619,1287.93,24042.8,96.21,6661.25,2607.15
2019.01.15-20:00:00,1.13869,1.27017,108.56299999999999,1288.64,24038.0,96.24,6664.75,2607.71
2019.01.15-21:00:00,1.14012,1.28339,108.569,1290.27,23998.1,96.1,6646.01,2603.21
2019.01.15-22:00:00,1.14134,1.2883200000000001,108.665,1289.0,24063.3,95.93,6667.92,2609.85
2019.01.15-23:00:00,1.14121,1.28577,108.60799999999999,1288.92,24065.6,95.97,6664.14,2605.29
2019.01.16-00:00:00,1.14056,1.28608,108.62899999999999,1288.92,24065.6,95.98,6664.14,2605.29
2019.01.16-01:00:00,1.1414,1.2870700000000002,108.65100000000001,1289.54,24065.6,96.04,6678.42,2610.91
2019.01.16-02:00:00,1.14104,1.2857299999999998,108.45,1290.6,24065.6,95.94,6666.45,2607.53
2019.01.16-03:00:00,1.13981,1.28359,108.421,1289.12,24065.6,96.0,6664.98,2607.21
2019.01.16-04:00:00,1.14011,1.28407,108.49600000000001,1289.5,24065.6,96.01,6672.26,2609.93
