<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	06:00:00	96.19	96.21	96.18	96.19	65	0	0
2019.01.02	07:00:00	96.20	96.20	96.00	96.02	101	0	0
2019.01.02	08:00:00	96.01	96.02	95.82	95.91	107	0	0
2019.01.02	09:00:00	95.90	95.96	95.87	95.96	153	0	0
2019.01.02	10:00:00	95.95	96.25	95.93	96.19	197	0	0
2019.01.02	11:00:00	96.18	96.28	96.12	96.27	205	0	0
2019.01.02	12:00:00	96.26	96.27	96.20	96.23	132	0	0
2019.01.02	13:00:00	96.24	96.35	96.24	96.28	127	0	0
2019.01.02	14:00:00	96.27	96.51	96.26	96.45	165	0	0
2019.01.02	15:00:00	96.46	96.69	96.44	96.69	241	0	0
2019.01.02	16:00:00	96.70	96.78	96.67	96.71	204	0	0
2019.01.02	17:00:00	96.72	96.84	96.68	96.77	219	0	0
2019.01.02	18:00:00	96.76	96.81	96.72	96.78	161	0	0
2019.01.02	19:00:00	96.77	96.90	96.75	96.89	191	0	0
2019.01.02	20:00:00	96.90	96.95	96.88	96.93	138	0	0
2019.01.02	21:00:00	96.94	96.96	96.86	96.86	175	0	0
2019.01.02	22:00:00	96.85	96.87	96.79	96.79	123	0	0
2019.01.02	23:00:00	96.80	96.82	96.76	96.78	121	0	0
2019.01.03	00:00:00	96.77	96.82	96.50	96.68	310	0	0
2019.01.03	01:00:00	96.67	96.82	96.62	96.82	211	0	0
2019.01.03	02:00:00	96.71	96.71	96.67	96.68	16	0	0
2019.01.03	03:00:00	96.69	96.75	96.64	96.68	172	0	0
2019.01.03	04:00:00	96.69	96.70	96.55	96.57	165	0	0
2019.01.03	05:00:00	96.56	96.59	96.50	96.53	168	0	0
2019.01.03	06:00:00	96.54	96.57	96.53	96.55	154	0	0
2019.01.03	07:00:00	96.54	96.55	96.49	96.55	172	0	0
2019.01.03	08:00:00	96.54	96.57	96.47	96.49	134	0	0
2019.01.03	09:00:00	96.50	96.56	96.42	96.55	240	0	0
2019.01.03	10:00:00	96.54	96.65	96.49	96.50	320	0	0
2019.01.03	11:00:00	96.51	96.54	96.47	96.48	184	0	0
2019.01.03	12:00:00	96.49	96.58	96.48	96.54	190	0	0
2019.01.03	13:00:00	96.55	96.70	96.53	96.70	206	0	0
2019.01.03	14:00:00	96.69	96.73	96.63	96.67	145	0	0
2019.01.03	15:00:00	96.66	96.75	96.53	96.55	252	0	0
2019.01.03	16:00:00	96.56	96.58	96.49	96.53	200	0	0
2019.01.03	17:00:00	96.54	96.54	96.22	96.34	405	0	0
2019.01.03	18:00:00	96.33	96.39	96.21	96.36	354	0	0
2019.01.03	19:00:00	96.35	96.36	96.25	96.28	232	0	0
2019.01.03	20:00:00	96.29	96.31	96.23	96.27	181	0	0
2019.01.03	21:00:00	96.28	96.36	96.25	96.31	128	0	0
2019.01.03	22:00:00	96.30	96.32	96.22	96.25	152	0	0
2019.01.03	23:00:00	96.24	96.27	96.22	96.27	74	0	0
2019.01.04	00:00:00	96.26	96.31	96.26	96.28	97	0	0
2019.01.04	01:00:00	96.27	96.31	96.27	96.31	2	0	0
2019.01.04	02:00:00	96.28	96.28	96.26	96.26	19	0	0
2019.01.04	03:00:00	96.25	96.26	96.17	96.22	112	0	0
2019.01.04	04:00:00	96.23	96.30	96.22	96.30	124	0	0
2019.01.04	05:00:00	96.29	96.39	96.29	96.34	168	0	0
2019.01.04	06:00:00	96.33	96.39	96.33	96.35	101	0	0
2019.01.04	07:00:00	96.36	96.37	96.33	96.34	91	0	0
2019.01.04	08:00:00	96.35	96.39	96.35	96.37	133	0	0
2019.01.04	09:00:00	96.36	96.37	96.23	96.23	126	0	0
2019.01.04	10:00:00	96.16	96.22	96.16	96.16	87	0	0
2019.01.04	11:00:00	96.15	96.20	96.11	96.18	132	0	0
2019.01.04	12:00:00	96.19	96.26	96.17	96.23	127	0	0
2019.01.04	13:00:00	96.22	96.22	96.14	96.15	98	0	0
2019.01.04	14:00:00	96.14	96.20	96.14	96.17	120	0	0
2019.01.04	15:00:00	96.18	96.49	96.17	96.44	249	0	0
2019.01.04	16:00:00	96.45	96.61	96.42	96.61	217	0	0
2019.01.04	17:00:00	96.60	96.61	96.18	96.25	285	0	0
2019.01.04	18:00:00	96.24	96.25	96.05	96.12	250	0	0
2019.01.04	19:00:00	96.13	96.22	96.07	96.20	182	0	0
2019.01.04	20:00:00	96.19	96.21	96.12	96.14	126	0	0
2019.01.04	21:00:00	96.13	96.21	96.13	96.19	141	0	0
2019.01.04	22:00:00	96.18	96.21	96.15	96.21	128	0	0
2019.01.04	23:00:00	96.20	96.21	96.16	96.19	74	0	0
