<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	00:00:00	1.14638	1.14659	1.14587	1.14603	671	0	23
2019.01.02	01:00:00	1.14604	1.14676	1.14568	1.14609	1756	0	5
2019.01.02	02:00:00	1.14609	1.14625	1.14541	1.14560	1209	0	3
2019.01.02	03:00:00	1.14560	1.14561	1.14456	1.14521	1711	0	3
2019.01.02	04:00:00	1.14521	1.14532	1.14426	1.14455	1899	0	3
2019.01.02	05:00:00	1.14455	1.14485	1.14445	1.14456	828	0	3
2019.01.02	06:00:00	1.14456	1.14468	1.14425	1.14448	1178	0	4
2019.01.02	07:00:00	1.14448	1.14787	1.14448	1.14778	2346	0	3
2019.01.02	08:00:00	1.14778	1.14966	1.14767	1.14851	3249	0	3
2019.01.02	09:00:00	1.14850	1.14931	1.14736	1.14750	3893	0	3
2019.01.02	10:00:00	1.14734	1.14778	1.14286	1.14478	7269	0	3
2019.01.02	11:00:00	1.14478	1.14496	1.14220	1.14339	5392	0	3
2019.01.02	12:00:00	1.14339	1.14416	1.14319	1.14368	3856	0	3
2019.01.02	13:00:00	1.14368	1.14389	1.14245	1.14337	3360	0	3
2019.01.02	14:00:00	1.14338	1.14339	1.13976	1.14047	4367	0	3
2019.01.02	15:00:00	1.14047	1.14055	1.13673	1.13715	7398	0	3
2019.01.02	16:00:00	1.13714	1.13751	1.13580	1.13606	7473	0	3
2019.01.02	17:00:00	1.13610	1.13695	1.13418	1.13534	8638	0	3
2019.01.02	18:00:00	1.13536	1.13619	1.13486	1.13562	5536	0	3
2019.01.02	19:00:00	1.13561	1.13570	1.13311	1.13351	5712	0	3
2019.01.02	20:00:00	1.13350	1.13361	1.13261	1.13278	3272	0	3
2019.01.02	21:00:00	1.13278	1.13441	1.13250	1.13435	2959	0	3
2019.01.02	22:00:00	1.13439	1.13475	1.13404	1.13454	3188	0	3
2019.01.02	23:00:00	1.13453	1.13474	1.13399	1.13443	1364	0	3
2019.01.03	00:00:00	1.13442	1.13525	1.13135	1.13502	1304	0	3
2019.01.03	01:00:00	1.13462	1.13511	1.13090	1.13122	4094	0	3
2019.01.03	02:00:00	1.13119	1.13465	1.13097	1.13395	3859	0	3
2019.01.03	03:00:00	1.13395	1.13525	1.13393	1.13483	3615	0	3
2019.01.03	04:00:00	1.13483	1.13613	1.13458	1.13581	3039	0	3
2019.01.03	05:00:00	1.13581	1.13714	1.13566	1.13646	2360	0	3
2019.01.03	06:00:00	1.13646	1.13678	1.13603	1.13672	1383	0	3
2019.01.03	07:00:00	1.13672	1.13697	1.13570	1.13608	2649	0	3
2019.01.03	08:00:00	1.13608	1.13765	1.13547	1.13721	2737	0	3
2019.01.03	09:00:00	1.13721	1.13767	1.13614	1.13694	5145	0	3
2019.01.03	10:00:00	1.13695	1.13835	1.13539	1.13798	8107	0	3
2019.01.03	11:00:00	1.13798	1.13838	1.13728	1.13757	5243	0	3
2019.01.03	12:00:00	1.13755	1.13793	1.13633	1.13681	5303	0	3
2019.01.03	13:00:00	1.13682	1.13716	1.13403	1.13413	5192	0	3
