<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	00:00:00	1.27331	1.27441	1.27288	1.27364	162	0	72
2019.01.02	01:00:00	1.27430	1.27536	1.27410	1.27528	1307	0	7
2019.01.02	02:00:00	1.27528	1.27528	1.27448	1.27484	1209	0	7
2019.01.02	03:00:00	1.27484	1.27484	1.27408	1.27447	1082	0	7
2019.01.02	04:00:00	1.27447	1.27447	1.27226	1.27278	2200	0	6
2019.01.02	05:00:00	1.27278	1.27306	1.27257	1.27301	1273	0	4
2019.01.02	06:00:00	1.27299	1.27350	1.27285	1.27333	1790	0	7
2019.01.02	07:00:00	1.27333	1.27571	1.27324	1.27555	2578	0	7
2019.01.02	08:00:00	1.27555	1.27725	1.27516	1.27549	2669	0	4
2019.01.02	09:00:00	1.27549	1.27627	1.27471	1.27512	3180	0	5
2019.01.02	10:00:00	1.27508	1.27602	1.26951	1.27107	8327	0	6
2019.01.02	11:00:00	1.27107	1.27189	1.26873	1.26884	5962	0	4
2019.01.02	12:00:00	1.26884	1.27024	1.26707	1.26728	4094	0	4
2019.01.02	13:00:00	1.26727	1.26740	1.26593	1.26639	5288	0	4
2019.01.02	14:00:00	1.26639	1.26653	1.26444	1.26511	5408	0	4
2019.01.02	15:00:00	1.26509	1.26549	1.26026	1.26089	8102	0	4
2019.01.02	16:00:00	1.26087	1.26176	1.25965	1.26062	6936	0	4
2019.01.02	17:00:00	1.26064	1.26256	1.25951	1.25994	9718	0	4
2019.01.02	18:00:00	1.26003	1.26140	1.25807	1.25971	7254	0	4
2019.01.02	19:00:00	1.25971	1.25995	1.25837	1.25861	5820	0	4
2019.01.02	20:00:00	1.25861	1.25978	1.25850	1.25919	3515	0	4
2019.01.02	21:00:00	1.25918	1.26117	1.25878	1.26115	3080	0	4
2019.01.02	22:00:00	1.26123	1.26159	1.26066	1.26110	2789	0	5
2019.01.02	23:00:00	1.26109	1.26139	1.25985	1.26044	1569	0	4
2019.01.03	00:00:00	1.26001	1.26012	1.24356	1.24686	329	0	59
2019.01.03	01:00:00	1.24656	1.25494	1.24656	1.25149	3661	0	8
2019.01.03	02:00:00	1.25149	1.25573	1.25141	1.25473	3238	0	4
2019.01.03	03:00:00	1.25474	1.25526	1.25369	1.25472	2871	0	5
2019.01.03	04:00:00	1.25469	1.25596	1.25416	1.25457	2990	0	5
2019.01.03	05:00:00	1.25457	1.25570	1.25406	1.25491	2744	0	6
2019.01.03	06:00:00	1.25491	1.25522	1.25447	1.25479	1771	0	4
2019.01.03	07:00:00	1.25479	1.25523	1.25399	1.25456	2647	0	5
2019.01.03	08:00:00	1.25455	1.25582	1.25417	1.25531	1994	0	5
2019.01.03	09:00:00	1.25536	1.25661	1.25419	1.25517	5054	0	4
2019.01.03	10:00:00	1.25514	1.25699	1.25383	1.25668	8608	0	4
2019.01.03	11:00:00	1.25668	1.25872	1.25599	1.25803	6502	0	4
2019.01.03	12:00:00	1.25803	1.25851	1.25674	1.25689	5618	0	5
2019.01.03	13:00:00	1.25689	1.25723	1.25509	1.25579	4805	0	4
2019.01.03	14:00:00	1.25579	1.25706	1.25508	1.25600	4363	0	4
2019.01.03	15:00:00	1.25600	1.25991	1.25555	1.25899	7378	0	4
2019.01.03	16:00:00	1.25895	1.25957	1.25761	1.25761	6896	0	4
2019.01.03	17:00:00	1.25770	1.26067	1.25770	1.26005	12114	0	4
2019.01.03	18:00:00	1.26004	1.26387	1.25947	1.26312	10538	0	5
2019.01.03	19:00:00	1.26313	1.26472	1.26221	1.26427	6825	0	4
2019.01.03	20:00:00	1.26425	1.26465	1.26322	1.26322	3779	0	4
2019.01.03	21:00:00	1.26323	1.26365	1.26233	1.26313	3774	0	4
2019.01.03	22:00:00	1.26313	1.26389	1.26283	1.26345	3480	0	4
2019.01.03	23:00:00	1.26348	1.26407	1.26285	1.26309	1292	0	4
2019.01.04	00:00:00	1.26254	1.26384	1.26230	1.26325	2559	0	44
2019.01.04	01:00:00	1.26325	1.26367	1.26245	1.26271	3294	0	9
2019.01.04	02:00:00	1.26270	1.26389	1.26154	1.26385	4442	0	4
2019.01.04	03:00:00	1.26383	1.26455	1.26348	1.26405	2586	0	4
2019.01.04	04:00:00	1.26405	1.26415	1.26357	1.26369	1876	0	4
2019.01.04	05:00:00	1.26366	1.26431	1.26280	1.26413	1951	0	4
2019.01.04	06:00:00	1.26414	1.26423	1.26332	1.26366	1896	0	5
2019.01.04	07:00:00	1.26366	1.26403	1.26324	1.26340	1677	0	4
2019.01.04	08:00:00	1.26339	1.26399	1.26272	1.26352	2286	0	5
2019.01.04	09:00:00	1.26356	1.26512	1.26337	1.26501	3202	0	4
2019.01.04	10:00:00	1.26498	1.26711	1.26485	1.26692	4279	0	4
2019.01.04	11:00:00	1.26691	1.26819	1.26681	1.26714	5128	0	4
2019.01.04	12:00:00	1.26715	1.26946	1.26655	1.26764	4847	0	4
2019.01.04	13:00:00	1.26766	1.26781	1.26652	1.26668	3681	0	5
2019.01.04	14:00:00	1.26668	1.26753	1.26645	1.26690	3472	0	4
2019.01.04	15:00:00	1.26691	1.26736	1.26331	1.26430	7812	0	4
2019.01.04	16:00:00	1.26430	1.26430	1.26176	1.26288	7856	0	4
2019.01.04	17:00:00	1.26287	1.27230	1.26166	1.27230	11378	0	4
2019.01.04	18:00:00	1.27231	1.27396	1.27086	1.27363	9041	0	4
2019.01.04	19:00:00	1.27364	1.27437	1.27166	1.27257	5670	0	4
2019.01.04	20:00:00	1.27254	1.27399	1.27190	1.27338	3335	0	5
2019.01.04	21:00:00	1.27338	1.27436	1.27258	1.27418	3766	0	4
2019.01.04	22:00:00	1.27419	1.27443	1.27313	1.27372	2611	0	4
2019.01.04	23:00:00	1.27373	1.27383	1.27135	1.27159	2529	0	5
2019.01.07	00:00:00	1.27225	1.27249	1.27112	1.27182	476	0	41
2019.01.07	01:00:00	1.27239	1.27400	1.27181	1.27318	2741	0	10
2019.01.07	02:00:00	1.27317	1.27393	1.27287	1.27349	1583	0	4
2019.01.07	03:00:00	1.27349	1.27450	1.27338	1.27420	1583	0	8
2019.01.07	04:00:00	1.27420	1.27442	1.27391	1.27429	1321	0	6
2019.01.07	05:00:00	1.27428	1.27490	1.27418	1.27481	1191	0	7
2019.01.07	06:00:00	1.27481	1.27506	1.27443	1.27448	1853	0	4
2019.01.07	07:00:00	1.27448	1.27504	1.27432	1.27483	1533	0	8
2019.01.07	08:00:00	1.27483	1.27515	1.27418	1.27465	2120	0	6
2019.01.07	09:00:00	1.27465	1.27506	1.27396	1.27483	3083	0	4
2019.01.07	10:00:00	1.27485	1.27548	1.27199	1.27272	3941	0	4
2019.01.07	11:00:00	1.27269	1.27648	1.27231	1.27500	4435	0	4
2019.01.07	12:00:00	1.27500	1.27530	1.27262	1.27309	3191	0	6
2019.01.07	13:00:00	1.27308	1.27555	1.27304	1.27541	3112	0	4
2019.01.07	14:00:00	1.27541	1.27603	1.27462	1.27471	3893	0	5
2019.01.07	15:00:00	1.27471	1.27674	1.27471	1.27649	5204	0	4
2019.01.07	16:00:00	1.27648	1.27801	1.27629	1.27755	5325	0	4
2019.01.07	17:00:00	1.27763	1.27864	1.27582	1.27712	6751	0	4
2019.01.07	18:00:00	1.27714	1.27748	1.27515	1.27565	6078	0	6
2019.01.07	19:00:00	1.27563	1.27767	1.27558	1.27741	2832	0	4
2019.01.07	20:00:00	1.27741	1.27790	1.27647	1.27677	2948	0	4
2019.01.07	21:00:00	1.27677	1.27717	1.27640	1.27697	1748	0	4
2019.01.07	22:00:00	1.27699	1.27713	1.27629	1.27697	2089	0	5
2019.01.07	23:00:00	1.27698	1.27815	1.27655	1.27739	1370	0	4
2019.01.08	00:00:00	1.27739	1.27882	1.27698	1.27824	1030	0	12
2019.01.08	01:00:00	1.27826	1.27888	1.27817	1.27849	1032	0	7
2019.01.08	02:00:00	1.27849	1.27867	1.27779	1.27782	945	0	8
2019.01.08	03:00:00	1.27782	1.27801	1.27639	1.27650	2280	0	6
2019.01.08	04:00:00	1.27650	1.27734	1.27628	1.27711	1817	0	7
2019.01.08	05:00:00	1.27711	1.27725	1.27568	1.27579	1743	0	5
2019.01.08	06:00:00	1.27579	1.27614	1.27536	1.27590	1466	0	7
2019.01.08	07:00:00	1.27591	1.27638	1.27587	1.27630	1234	0	8
2019.01.08	08:00:00	1.27630	1.27841	1.27598	1.27684	2253	0	4
2019.01.08	09:00:00	1.27684	1.27969	1.27593	1.27622	4571	0	4
2019.01.08	10:00:00	1.27622	1.27830	1.27457	1.27782	3276	0	5
2019.01.08	11:00:00	1.27782	1.27856	1.27653	1.27664	3978	0	4
2019.01.08	12:00:00	1.27664	1.27664	1.27474	1.27575	3697	0	4
2019.01.08	13:00:00	1.27575	1.27796	1.27445	1.27735	3524	0	4
2019.01.08	14:00:00	1.27735	1.27780	1.27396	1.27478	3780	0	4
2019.01.08	15:00:00	1.27478	1.27544	1.27276	1.27349	4605	0	4
2019.01.08	16:00:00	1.27354	1.27463	1.27259	1.27259	4839	0	4
2019.01.08	17:00:00	1.27261	1.27358	1.27109	1.27308	5655	0	4
2019.01.08	18:00:00	1.27308	1.27393	1.27192	1.27220	4698	0	4
2019.01.08	19:00:00	1.27218	1.27239	1.27078	1.27229	3035	0	4
2019.01.08	20:00:00	1.27229	1.27251	1.27097	1.27117	2735	0	4
2019.01.08	21:00:00	1.27117	1.27181	1.27064	1.27177	1842	0	4
2019.01.08	22:00:00	1.27177	1.27210	1.27119	1.27197	2034	0	4
2019.01.08	23:00:00	1.27197	1.27197	1.27117	1.27136	1194	0	5
