<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.01	00:00:00	96.25	96.31	96.25	96.29	223	0	0
2019.07.01	03:00:00	96.28	96.36	96.28	96.35	348	0	0
2019.07.01	06:00:00	96.34	96.54	96.34	96.51	278	0	0
2019.07.01	09:00:00	96.52	96.61	96.50	96.53	444	0	0
2019.07.01	12:00:00	96.52	96.58	96.35	96.42	427	0	0
2019.07.01	15:00:00	96.41	96.60	96.37	96.56	522	0	0
2019.07.01	18:00:00	96.55	96.86	96.54	96.86	457	0	0
2019.07.01	21:00:00	96.85	96.87	96.80	96.83	213	0	0
2019.07.02	00:00:00	96.84	96.84	96.81	96.81	70	0	0
2019.07.02	03:00:00	96.80	96.88	96.80	96.86	267	0	0
2019.07.02	06:00:00	96.87	96.87	96.77	96.79	187	0	0
2019.07.02	09:00:00	96.80	96.81	96.73	96.78	407	0	0
2019.07.02	12:00:00	96.77	96.80	96.63	96.74	409	0	0
2019.07.02	15:00:00	96.75	96.84	96.69	96.76	450	0	0
2019.07.02	18:00:00	96.77	96.78	96.60	96.66	464	0	0
2019.07.02	21:00:00	96.67	96.79	96.66	96.77	317	0	0
2019.07.03	00:00:00	96.76	96.77	96.72	96.72	63	0	0
2019.07.03	03:00:00	96.73	96.74	96.66	96.70	196	0	0
2019.07.03	06:00:00	96.71	96.75	96.69	96.74	208	0	0
2019.07.03	09:00:00	96.73	96.87	96.72	96.76	396	0	0
2019.07.03	12:00:00	96.77	96.78	96.66	96.71	385	0	0
2019.07.03	15:00:00	96.70	96.80	96.59	96.72	521	0	0
2019.07.03	18:00:00	96.73	96.83	96.70	96.80	404	0	0
2019.07.03	21:00:00	96.79	96.80	96.77	96.79	163	0	0
2019.07.04	00:00:00	96.79	96.79	96.72	96.72	84	0	0
2019.07.04	03:00:00	96.71	96.74	96.66	96.74	130	0	0
2019.07.04	06:00:00	96.73	96.75	96.72	96.75	151	0	0
2019.07.04	09:00:00	96.74	96.78	96.72	96.77	302	0	0
2019.07.04	12:00:00	96.78	96.80	96.71	96.73	302	0	0
2019.07.04	15:00:00	96.72	96.81	96.71	96.76	305	0	0
2019.07.04	18:00:00	96.77	96.78	96.73	96.75	201	0	0
2019.07.04	21:00:00	96.74	96.75	96.72	96.73	132	0	0
2019.07.05	00:00:00	96.74	96.77	96.72	96.72	71	0	0
2019.07.05	03:00:00	96.73	96.78	96.72	96.76	176	0	0
2019.07.05	06:00:00	96.77	96.79	96.74	96.78	178	0	0
2019.07.05	09:00:00	96.77	96.93	96.77	96.91	317	0	0
2019.07.05	12:00:00	96.92	96.97	96.91	96.94	283	0	0
2019.07.05	15:00:00	96.93	97.44	96.90	97.38	666	0	0
2019.07.05	18:00:00	97.37	97.41	97.28	97.30	406	0	0
2019.07.05	21:00:00	97.31	97.32	97.23	97.24	212	0	0
2019.07.08	00:00:00	97.23	97.26	97.22	97.23	104	0	0
2019.07.08	03:00:00	97.24	97.28	97.21	97.24	243	0	0
2019.07.08	06:00:00	97.23	97.25	97.17	97.20	268	0	0
2019.07.08	09:00:00	97.21	97.26	97.16	97.19	321	0	0
2019.07.08	12:00:00	97.18	97.33	97.18	97.30	247	0	0
2019.07.08	15:00:00	97.29	97.39	97.24	97.39	377	0	0
2019.07.08	18:00:00	97.40	97.42	97.32	97.32	299	0	0
2019.07.08	21:00:00	97.33	97.42	97.32	97.39	255	0	0
2019.07.09	00:00:00	97.38	97.38	97.34	97.38	70	0	0
2019.07.09	03:00:00	97.37	97.43	97.36	97.41	225	0	0
2019.07.09	06:00:00	97.42	97.42	97.36	97.39	210	0	0
2019.07.09	09:00:00	97.38	97.54	97.38	97.54	353	0	0
2019.07.09	12:00:00	97.55	97.59	97.49	97.51	181	0	0
2019.07.09	15:00:00	97.54	97.55	97.46	97.50	378	0	0
2019.07.09	18:00:00	97.51	97.54	97.44	97.48	328	0	0
2019.07.09	21:00:00	97.49	97.53	97.46	97.50	240	0	0
2019.07.10	00:00:00	97.51	97.51	97.49	97.51	74	0	0
2019.07.10	03:00:00	97.52	97.55	97.51	97.52	167	0	0
2019.07.10	06:00:00	97.51	97.52	97.49	97.50	200	0	0
2019.07.10	09:00:00	97.51	97.54	97.38	97.41	391	0	0
2019.07.10	12:00:00	97.40	97.47	97.35	97.45	334	0	0
2019.07.10	15:00:00	97.44	97.47	97.10	97.14	677	0	0
2019.07.10	18:00:00	97.15	97.21	97.06	97.10	386	0	0
2019.07.10	21:00:00	97.11	97.13	97.03	97.12	264	0	0
2019.07.11	00:00:00	97.13	97.13	97.06	97.06	70	0	0
2019.07.11	03:00:00	97.05	97.06	96.93	96.93	293	0	0
2019.07.11	06:00:00	96.94	96.94	96.83	96.89	212	0	0
2019.07.11	09:00:00	96.88	96.94	96.86	96.87	300	0	0
2019.07.11	12:00:00	96.86	96.96	96.85	96.87	308	0	0
2019.07.11	15:00:00	96.86	97.07	96.80	97.01	556	0	0
2019.07.11	18:00:00	97.02	97.15	96.98	97.14	439	0	0
2019.07.11	21:00:00	97.13	97.14	97.03	97.07	255	0	0
2019.07.12	00:00:00	97.08	97.08	97.04	97.08	93	0	0
2019.07.12	03:00:00	97.09	97.12	96.94	96.98	282	0	0
2019.07.12	06:00:00	96.97	96.98	96.89	96.90	204	0	0
2019.07.12	09:00:00	96.89	96.97	96.89	96.94	352	0	0
2019.07.12	12:00:00	96.95	97.03	96.93	96.98	400	0	0
2019.07.12	15:00:00	96.99	97.08	96.98	96.98	422	0	0
2019.07.12	18:00:00	96.99	97.00	96.84	96.84	346	0	0
2019.07.12	21:00:00	96.85	96.86	96.79	96.82	260	0	0
2019.07.15	00:00:00	96.84	96.84	96.79	96.82	133	0	0
2019.07.15	03:00:00	96.81	96.89	96.79	96.87	293	0	0
2019.07.15	06:00:00	96.86	96.89	96.81	96.83	260	0	0
2019.07.15	09:00:00	96.82	96.84	96.76	96.82	319	0	0
2019.07.15	12:00:00	96.81	96.85	96.75	96.83	307	0	0
2019.07.15	15:00:00	96.84	96.94	96.83	96.93	386	0	0
2019.07.15	18:00:00	96.92	96.97	96.90	96.96	319	0	0
2019.07.15	21:00:00	96.95	96.96	96.81	96.94	188	0	0
2019.07.16	00:00:00	96.95	96.95	96.92	96.92	67	0	0
2019.07.16	03:00:00	96.93	96.99	96.92	96.94	234	0	0
2019.07.16	06:00:00	96.93	96.96	96.92	96.95	143	0	0
