<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.01	00:00:00	1.26943	1.27018	1.26870	1.26925	5099	0	12
2019.07.01	03:00:00	1.26925	1.27050	1.26869	1.26976	6054	0	12
2019.07.01	06:00:00	1.26976	1.27003	1.26786	1.26836	5991	0	10
2019.07.01	09:00:00	1.26836	1.26863	1.26393	1.26429	16607	0	12
2019.07.01	12:00:00	1.26429	1.26508	1.26336	1.26447	16742	0	12
2019.07.01	15:00:00	1.26446	1.26709	1.26312	1.26508	20220	0	12
2019.07.01	18:00:00	1.26508	1.26535	1.26314	1.26376	14299	0	12
2019.07.01	21:00:00	1.26376	1.26462	1.26324	1.26385	7787	0	12
2019.07.02	00:00:00	1.26377	1.26475	1.26358	1.26436	3198	0	10
2019.07.02	03:00:00	1.26436	1.26453	1.26377	1.26400	5372	0	12
2019.07.02	06:00:00	1.26400	1.26421	1.26253	1.26391	4172	0	9
2019.07.02	09:00:00	1.26390	1.26451	1.26119	1.26171	12285	0	12
2019.07.02	12:00:00	1.26169	1.26304	1.26051	1.26278	16436	0	12
2019.07.02	15:00:00	1.26277	1.26445	1.25833	1.25937	19020	0	12
2019.07.02	18:00:00	1.25937	1.26162	1.25899	1.26101	15581	0	12
2019.07.02	21:00:00	1.26098	1.26106	1.25914	1.25921	10417	0	7
2019.07.03	00:00:00	1.25921	1.25981	1.25857	1.25969	2066	0	11
2019.07.03	03:00:00	1.25969	1.25998	1.25883	1.25902	6816	0	12
2019.07.03	06:00:00	1.25900	1.25944	1.25839	1.25859	4689	0	10
2019.07.03	09:00:00	1.25859	1.25861	1.25564	1.25780	13937	0	12
2019.07.03	12:00:00	1.25780	1.25817	1.25635	1.25788	11809	0	12
2019.07.03	15:00:00	1.25788	1.25910	1.25583	1.25626	22047	0	12
2019.07.03	18:00:00	1.25628	1.25787	1.25579	1.25775	10670	0	10
2019.07.03	21:00:00	1.25775	1.25818	1.25706	1.25716	2129	0	8
2019.07.04	00:00:00	1.25698	1.25824	1.25568	1.25819	3700	0	6
2019.07.04	03:00:00	1.25818	1.25904	1.25760	1.25779	3155	0	10
2019.07.04	06:00:00	1.25779	1.25877	1.25779	1.25801	2256	0	10
2019.07.04	09:00:00	1.25801	1.25879	1.25679	1.25791	8402	0	12
2019.07.04	12:00:00	1.25791	1.25810	1.25680	1.25774	8408	0	12
2019.07.04	15:00:00	1.25774	1.25854	1.25695	1.25746	9360	0	12
2019.07.04	18:00:00	1.25746	1.25870	1.25732	1.25814	7315	0	11
2019.07.04	21:00:00	1.25819	1.25828	1.25744	1.25777	5537	0	13
2019.07.05	00:00:00	1.25777	1.25826	1.25709	1.25818	1933	0	6
2019.07.05	03:00:00	1.25820	1.25820	1.25743	1.25813	2866	0	9
2019.07.05	06:00:00	1.25812	1.25842	1.25779	1.25790	2274	0	9
2019.07.05	09:00:00	1.25790	1.25870	1.25490	1.25548	10316	0	12
2019.07.05	12:00:00	1.25545	1.25599	1.25394	1.25499	11456	0	12
2019.07.05	15:00:00	1.25497	1.25618	1.24805	1.25039	27052	0	12
2019.07.05	18:00:00	1.25039	1.25197	1.24972	1.25176	14587	0	12
2019.07.05	21:00:00	1.25176	1.25301	1.25174	1.25214	7092	0	8
2019.07.08	00:00:00	1.25239	1.25282	1.25225	1.25235	1003	0	4
2019.07.08	03:00:00	1.25244	1.25299	1.25201	1.25215	804	0	6
2019.07.08	06:00:00	1.25225	1.25326	1.25201	1.25303	890	0	4
2019.07.08	09:00:00	1.25303	1.25374	1.25113	1.25333	940	0	5
2019.07.08	12:00:00	1.25330	1.25393	1.25129	1.25132	3953	0	3
2019.07.08	15:00:00	1.25133	1.25285	1.24996	1.25140	12664	0	3
2019.07.08	18:00:00	1.25140	1.25210	1.24997	1.25183	10044	0	3
2019.07.08	21:00:00	1.25183	1.25198	1.25080	1.25134	5508	0	3
2019.07.09	00:00:00	1.25134	1.25227	1.25123	1.25150	3112	0	3
2019.07.09	03:00:00	1.25150	1.25180	1.25073	1.25089	2553	0	3
2019.07.09	06:00:00	1.25088	1.25124	1.25055	1.25077	2312	0	3
2019.07.09	09:00:00	1.25078	1.25079	1.24577	1.24699	11786	0	3
2019.07.09	12:00:00	1.24698	1.24718	1.24391	1.24525	11338	0	3
2019.07.09	15:00:00	1.24525	1.24769	1.24428	1.24651	15394	0	3
2019.07.09	18:00:00	1.24652	1.24740	1.24457	1.24657	13076	0	3
2019.07.09	21:00:00	1.24656	1.24758	1.24593	1.24624	4917	0	3
2019.07.10	00:00:00	1.24619	1.24662	1.24560	1.24574	4460	0	4
2019.07.10	03:00:00	1.24574	1.24588	1.24501	1.24539	4193	0	3
2019.07.10	06:00:00	1.24539	1.24617	1.24502	1.24556	2425	0	4
2019.07.10	09:00:00	1.24555	1.24828	1.24436	1.24798	14961	0	3
2019.07.10	12:00:00	1.24798	1.24948	1.24618	1.24713	11368	0	3
2019.07.10	15:00:00	1.24713	1.25207	1.24701	1.24961	20191	0	3
2019.07.10	18:00:00	1.24961	1.25174	1.24907	1.25047	18311	0	3
2019.07.10	21:00:00	1.25047	1.25134	1.24988	1.25015	8871	0	3
2019.07.11	00:00:00	1.24990	1.25103	1.24972	1.25057	4568	0	4
2019.07.11	03:00:00	1.25057	1.25245	1.25050	1.25227	5636	0	4
2019.07.11	06:00:00	1.25224	1.25385	1.25214	1.25290	4418	0	3
2019.07.11	09:00:00	1.25290	1.25403	1.25230	1.25340	8950	0	3
2019.07.11	12:00:00	1.25340	1.25709	1.25305	1.25548	11256	0	3
2019.07.11	15:00:00	1.25548	1.25708	1.25271	1.25362	20054	0	3
2019.07.11	18:00:00	1.25363	1.25573	1.25089	1.25187	14903	0	3
2019.07.11	21:00:00	1.25186	1.25269	1.25166	1.25220	8627	0	3
2019.07.12	00:00:00	1.25223	1.25301	1.25183	1.25203	6864	0	4
2019.07.12	03:00:00	1.25207	1.25416	1.25199	1.25356	6203	0	3
2019.07.12	06:00:00	1.25356	1.25485	1.25356	1.25454	4163	0	3
2019.07.12	09:00:00	1.25454	1.25535	1.25309	1.25400	12357	0	3
2019.07.12	12:00:00	1.25404	1.25424	1.25211	1.25339	11141	0	3
2019.07.12	15:00:00	1.25337	1.25623	1.25288	1.25588	16635	0	3
2019.07.12	18:00:00	1.25588	1.25697	1.25502	1.25633	15139	0	3
2019.07.12	21:00:00	1.25633	1.25786	1.25620	1.25753	7807	0	4
2019.07.15	00:00:00	1.25403	1.25779	1.25394	1.25706	4444	0	4
2019.07.15	03:00:00	1.25706	1.25723	1.25585	1.25679	4416	0	3
2019.07.15	06:00:00	1.25679	1.25736	1.25615	1.25726	3494	0	4
2019.07.15	09:00:00	1.25726	1.25759	1.25506	1.25518	8474	0	3
2019.07.15	12:00:00	1.25518	1.25651	1.25339	1.25388	7873	0	3
2019.07.15	15:00:00	1.25388	1.25418	1.25099	1.25159	12980	0	3
2019.07.15	18:00:00	1.25160	1.25238	1.25100	1.25158	9357	0	3
2019.07.15	21:00:00	1.25158	1.25208	1.25134	1.25149	6808	0	4
2019.07.16	00:00:00	1.25160	1.25203	1.25116	1.25160	2127	0	4
