<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.01	00:00:00	7784.15	7803.55	7773.85	7779.59	3648	0	125
2019.07.01	03:00:00	7779.52	7781.65	7751.90	7767.27	8286	0	120
2019.07.01	06:00:00	7767.13	7800.45	7763.07	7798.63	5595	0	120
2019.07.01	09:00:00	7798.70	7808.85	7790.45	7799.05	10607	0	120
2019.07.01	12:00:00	7799.12	7811.30	7793.38	7807.45	6054	0	120
2019.07.01	15:00:00	7807.73	7826.00	7770.49	7782.00	18895	0	120
2019.07.01	18:00:00	7782.32	7787.50	7741.51	7755.93	22442	0	120
2019.07.01	21:00:00	7756.00	7773.50	7734.93	7767.65	14738	0	120
2019.07.02	00:00:00	7768.10	7768.60	7742.07	7752.90	2191	0	120
2019.07.02	03:00:00	7752.90	7770.05	7751.40	7766.40	5205	0	120
2019.07.02	06:00:00	7766.40	7774.40	7761.46	7765.40	2436	0	125
2019.07.02	09:00:00	7765.15	7775.15	7738.65	7744.20	5578	0	125
2019.07.02	12:00:00	7744.20	7757.40	7741.02	7752.65	4475	0	125
2019.07.02	15:00:00	7751.94	7784.15	7751.94	7776.37	16888	0	120
2019.07.02	18:00:00	7776.51	7781.10	7744.24	7767.90	16488	0	120
2019.07.02	21:00:00	7767.90	7818.35	7765.17	7815.70	11379	0	121
2019.07.03	00:00:00	7813.00	7815.20	7805.65	7809.40	1496	0	125
2019.07.03	03:00:00	7809.40	7812.84	7798.28	7802.45	6885	0	122
2019.07.03	06:00:00	7802.45	7808.20	7799.05	7807.20	3292	0	125
2019.07.03	09:00:00	7807.17	7840.05	7803.88	7838.05	7066	0	125
2019.07.03	12:00:00	7838.05	7845.55	7827.89	7828.55	5071	0	124
2019.07.03	15:00:00	7828.40	7843.55	7808.78	7840.30	17989	0	120
2019.07.03	18:00:00	7840.35	7866.55	7829.78	7862.35	11649	0	121
2019.07.04	00:00:00	7870.90	7874.85	7858.34	7860.40	1345	0	123
2019.07.04	03:00:00	7860.40	7862.40	7852.15	7852.90	3335	0	125
2019.07.04	06:00:00	7852.65	7859.65	7851.65	7856.59	1667	0	125
2019.07.04	09:00:00	7856.80	7861.90	7851.90	7855.65	4042	0	120
2019.07.04	12:00:00	7855.65	7866.60	7855.40	7866.35	2719	0	150
2019.07.04	15:00:00	7866.35	7876.33	7863.65	7876.05	4574	0	120
2019.07.04	18:00:00	7876.12	7877.59	7868.35	7871.50	2418	0	120
2019.07.05	00:00:00	7873.45	7879.15	7873.15	7874.95	817	0	125
2019.07.05	03:00:00	7874.95	7877.40	7866.15	7875.15	3429	0	125
2019.07.05	06:00:00	7875.15	7878.90	7872.90	7878.65	1384	0	125
2019.07.05	09:00:00	7878.65	7879.40	7842.80	7844.15	4175	0	125
2019.07.05	12:00:00	7844.15	7849.65	7837.62	7840.15	3433	0	125
2019.07.05	15:00:00	7839.90	7848.70	7768.65	7780.70	26582	0	120
2019.07.05	18:00:00	7780.99	7837.70	7774.06	7832.45	19967	0	120
2019.07.05	21:00:00	7832.40	7851.95	7821.24	7821.73	12433	0	120
2019.07.08	00:00:00	7831.40	7835.80	7817.46	7818.80	1472	0	120
2019.07.08	03:00:00	7818.80	7822.00	7802.62	7805.15	6758	0	120
2019.07.08	06:00:00	7804.90	7811.20	7784.35	7790.25	3822	0	120
2019.07.08	09:00:00	7789.90	7820.30	7788.83	7809.55	7172	0	120
2019.07.08	12:00:00	7809.55	7810.75	7788.20	7795.05	5977	0	125
2019.07.08	15:00:00	7795.05	7802.25	7754.11	7774.15	19707	0	120
2019.07.08	18:00:00	7774.25	7786.00	7757.96	7774.00	15506	0	120
2019.07.08	21:00:00	7774.25	7792.75	7763.21	7778.30	10247	0	120
2019.07.09	00:00:00	7773.57	7782.40	7766.08	7770.40	1089	0	125
2019.07.09	03:00:00	7770.40	7778.90	7754.95	7757.40	4059	0	125
2019.07.09	06:00:00	7757.40	7757.40	7727.65	7744.15	4135	0	125
2019.07.09	09:00:00	7743.65	7749.40	7719.90	7730.15	8083	0	125
2019.07.09	12:00:00	7730.15	7749.40	7722.26	7749.15	5346	0	125
2019.07.09	15:00:00	7748.93	7802.60	7741.86	7794.85	20335	0	120
2019.07.09	18:00:00	7794.80	7821.05	7792.54	7820.30	14448	0	122
2019.07.09	21:00:00	7819.77	7834.55	7808.65	7823.10	8429	0	120
2019.07.10	00:00:00	7822.85	7827.50	7817.40	7823.25	1121	0	125
2019.07.10	03:00:00	7823.25	7845.20	7821.03	7831.55	6064	0	125
2019.07.10	06:00:00	7830.90	7832.25	7818.30	7820.35	3067	0	122
2019.07.10	09:00:00	7820.35	7820.35	7796.53	7810.55	8155	0	121
2019.07.10	12:00:00	7810.15	7816.80	7787.78	7805.80	6859	0	125
2019.07.10	15:00:00	7805.65	7927.15	7803.60	7877.15	22106	0	120
2019.07.10	18:00:00	7877.40	7912.40	7859.53	7906.40	15107	0	120
2019.07.10	21:00:00	7906.40	7914.65	7881.15	7902.70	10642	0	120
2019.07.11	00:00:00	7903.75	7912.45	7898.20	7905.95	1486	0	125
2019.07.11	03:00:00	7905.95	7934.20	7901.81	7929.25	5986	0	121
2019.07.11	06:00:00	7929.25	7938.95	7925.61	7935.83	3796	0	120
2019.07.11	09:00:00	7935.85	7938.10	7919.94	7925.15	5512	0	120
2019.07.11	12:00:00	7925.15	7940.40	7919.31	7925.90	5401	0	125
2019.07.11	15:00:00	7925.90	7933.65	7899.08	7912.24	21834	0	120
2019.07.11	18:00:00	7912.10	7935.70	7880.88	7889.70	18549	0	120
2019.07.11	21:00:00	7889.42	7901.75	7872.15	7895.75	14194	0	120
2019.07.12	00:00:00	7895.50	7900.95	7889.98	7900.00	1047	0	125
2019.07.12	03:00:00	7900.34	7921.45	7897.19	7914.45	7241	0	124
2019.07.12	06:00:00	7914.15	7920.95	7908.74	7914.70	3148	0	120
2019.07.12	09:00:00	7914.70	7922.20	7904.12	7919.70	6653	0	123
2019.07.12	12:00:00	7919.70	7925.15	7908.74	7914.13	6034	0	121
2019.07.12	15:00:00	7914.55	7927.40	7898.52	7907.13	17809	0	120
2019.07.12	18:00:00	7907.41	7936.65	7903.49	7927.40	10813	0	120
2019.07.12	21:00:00	7927.40	7945.65	7926.40	7936.25	5861	0	120
2019.07.15	00:00:00	7942.75	7946.15	7929.53	7931.45	1096	0	130
2019.07.15	03:00:00	7931.15	7944.70	7920.70	7942.97	6054	0	125
2019.07.15	06:00:00	7943.39	7947.45	7939.70	7942.70	3097	0	134
2019.07.15	09:00:00	7942.83	7961.70	7940.60	7948.92	7224	0	120
2019.07.15	12:00:00	7948.99	7957.40	7937.30	7956.15	4830	0	121
2019.07.15	15:00:00	7955.65	7965.60	7940.10	7951.16	17540	0	121
2019.07.15	18:00:00	7951.51	7959.65	7940.80	7954.17	14303	0	120
2019.07.15	21:00:00	7954.15	7970.76	7954.10	7962.40	9528	0	121
2019.07.16	00:00:00	7962.85	7976.40	7960.12	7973.95	1109	0	125
2019.07.16	03:00:00	7973.49	7978.70	7967.33	7976.60	5834	0	137
2019.07.16	06:00:00	7976.71	7980.90	7972.16	7976.70	2544	0	125
2019.07.16	09:00:00	7976.71	7977.62	7966.00	7973.91	5695	0	125
2019.07.16	12:00:00	7973.90	7978.25	7963.34	7972.37	4918	0	123
2019.07.16	15:00:00	7972.51	7977.20	7947.80	7958.70	15229	0	120
2019.07.16	18:00:00	7958.95	7960.20	7904.12	7917.40	18242	0	120
2019.07.16	21:00:00	7917.75	7939.75	7915.67	7918.40	11456	0	120
2019.07.17	00:00:00	7922.40	7926.05	7917.00	7922.35	1291	0	125
2019.07.17	03:00:00	7922.35	7930.00	7909.79	7924.25	5031	0	134
2019.07.17	06:00:00	7924.15	7930.25	7922.67	7928.25	2179	0	120
2019.07.17	09:00:00	7928.06	7946.70	7924.91	7939.70	6280	0	120
2019.07.17	12:00:00	7939.70	7945.70	7925.19	7934.25	4279	0	120
2019.07.17	15:00:00	7933.45	7942.95	7902.02	7912.95	17319	0	120
2019.07.17	18:00:00	7912.59	7927.95	7910.14	7925.70	13437	0	120
2019.07.17	21:00:00	7925.40	7926.45	7847.56	7849.45	13440	0	120
2019.07.18	00:00:00	7855.25	7861.95	7850.64	7853.95	1781	0	138
2019.07.18	03:00:00	7853.95	7855.70	7824.32	7836.45	8736	0	124
2019.07.18	06:00:00	7836.22	7840.20	7813.89	7820.45	4362	0	121
2019.07.18	09:00:00	7820.89	7846.20	7820.61	7841.45	7936	0	121
2019.07.18	12:00:00	7841.15	7860.20	7840.15	7853.50	6983	0	121
2019.07.18	15:00:00	7853.95	7886.20	7845.95	7861.20	20205	0	120
2019.07.18	18:00:00	7860.90	7863.95	7825.86	7855.25	17676	0	120
2019.07.18	21:00:00	7855.25	7935.25	7854.50	7929.25	17089	0	120
2019.07.19	00:00:00	7938.25	7956.20	7917.42	7927.20	4464	0	125
2019.07.19	03:00:00	7926.90	7955.08	7925.68	7951.70	7503	0	123
2019.07.19	06:00:00	7951.40	7952.95	7939.12	7943.25	3189	0	125
2019.07.19	09:00:00	7943.11	7953.70	7934.22	7949.48	7672	0	123
2019.07.19	12:00:00	7949.50	7949.50	7919.15	7931.49	9352	0	122
2019.07.19	15:00:00	7931.28	7961.95	7898.66	7909.45	23112	0	120
2019.07.19	18:00:00	7909.51	7926.25	7882.00	7899.90	20090	0	120
2019.07.19	21:00:00	7900.25	7907.50	7822.57	7823.40	20235	0	121
2019.07.22	00:00:00	7816.48	7837.15	7809.20	7833.70	2800	0	121
2019.07.22	03:00:00	7833.90	7836.40	7815.92	7821.95	9358	0	135
2019.07.22	06:00:00	7821.65	7851.95	7820.15	7835.70	3817	0	120
2019.07.22	09:00:00	7835.40	7855.90	7833.98	7854.80	8443	0	122
2019.07.22	12:00:00	7854.65	7866.75	7848.82	7856.40	4857	0	122
2019.07.22	15:00:00	7856.15	7902.70	7845.74	7879.70	19862	0	120
2019.07.22	18:00:00	7879.90	7900.90	7870.52	7900.15	15783	0	120
2019.07.22	21:00:00	7899.90	7918.90	7891.24	7909.45	11126	0	120
2019.07.23	00:00:00	7914.45	7915.65	7907.83	7912.15	1041	0	125
2019.07.23	03:00:00	7912.15	7925.90	7904.26	7915.65	5447	0	122
2019.07.23	06:00:00	7915.70	7919.40	7905.59	7908.40	2235	0	125
2019.07.23	09:00:00	7908.65	7930.90	7908.15	7928.97	5790	0	120
2019.07.23	12:00:00	7929.04	7942.15	7926.90	7933.65	4685	0	124
2019.07.23	15:00:00	7933.65	7947.40	7897.26	7922.20	17756	0	120
2019.07.23	18:00:00	7921.90	7945.20	7891.17	7942.20	19605	0	120
2019.07.23	21:00:00	7942.06	7969.20	7915.65	7924.65	13942	0	120
2019.07.24	00:00:00	7931.90	7939.15	7927.64	7938.15	1497	0	124
2019.07.24	03:00:00	7938.15	7952.80	7928.65	7952.30	6395	0	121
2019.07.24	06:00:00	7952.30	7955.05	7941.08	7944.80	2768	0	120
2019.07.24	09:00:00	7945.30	7945.80	7911.89	7916.15	7394	0	121
2019.07.24	12:00:00	7916.15	7939.40	7909.44	7936.46	5865	0	123
2019.07.24	15:00:00	7936.53	7979.10	7922.74	7964.10	21472	0	120
2019.07.24	18:00:00	7963.90	7978.55	7953.68	7973.80	16971	0	120
2019.07.24	21:00:00	7973.80	8034.55	7970.27	7985.05	11893	0	120
2019.07.25	00:00:00	7992.55	8002.30	7990.65	8001.30	1303	0	120
2019.07.25	03:00:00	8001.30	8002.55	7990.71	7999.30	5057	0	125
2019.07.25	06:00:00	7999.55	8008.80	7996.90	8005.55	2572	0	125
2019.07.25	09:00:00	8005.76	8010.38	7994.00	8008.30	7121	0	122
2019.07.25	12:00:00	8008.35	8015.85	7991.41	8015.55	6736	0	121
2019.07.25	15:00:00	8015.63	8018.55	7929.11	7960.65	29628	0	120
2019.07.25	18:00:00	7960.65	7968.90	7917.35	7926.20	19757	0	120
2019.07.25	21:00:00	7926.20	7973.00	7921.34	7967.40	14498	0	120
2019.07.26	00:00:00	7979.70	7984.20	7973.40	7978.90	1337	0	120
2019.07.26	03:00:00	7978.90	8004.15	7975.45	8002.90	4421	0	120
2019.07.26	06:00:00	8002.65	8006.90	7997.40	8003.80	2217	0	120
2019.07.26	09:00:00	8004.05	8004.55	7985.46	7991.55	6715	0	120
2019.07.26	12:00:00	7991.55	8006.55	7988.54	7998.10	5008	0	120
2019.07.26	15:00:00	7998.30	8018.15	7973.98	7992.75	19651	0	120
2019.07.26	18:00:00	7991.76	8019.25	7987.21	8016.75	14026	0	120
2019.07.26	21:00:00	8016.65	8024.60	8002.05	8002.40	7004	0	120
2019.07.29	00:00:00	8006.95	8011.90	8001.65	8003.40	998	0	130
2019.07.29	03:00:00	8003.40	8003.65	7987.65	7991.40	4476	0	125
2019.07.29	06:00:00	7991.40	7997.40	7989.15	7994.40	1976	0	121
2019.07.29	09:00:00	7994.40	8008.40	7989.90	8001.90	4972	0	121
2019.07.29	12:00:00	8001.00	8016.90	7996.52	8012.95	4872	0	121
2019.07.29	15:00:00	8012.69	8016.40	7937.16	7958.16	16257	0	120
2019.07.29	18:00:00	7958.30	7987.14	7953.75	7979.44	16896	0	120
2019.07.29	21:00:00	7979.58	7996.31	7975.80	7991.70	10817	0	120
2019.07.30	00:00:00	7989.20	7998.95	7989.10	7996.65	1179	0	125
2019.07.30	03:00:00	7996.40	8006.70	7994.14	8003.00	4499	0	122
2019.07.30	06:00:00	8003.00	8005.25	7995.75	7997.40	2633	0	125
2019.07.30	09:00:00	7996.87	7997.25	7957.04	7958.90	7342	0	122
2019.07.30	12:00:00	7958.95	7962.20	7924.14	7932.20	10081	0	121
2019.07.30	15:00:00	7931.90	7963.40	7915.04	7951.15	20827	0	120
2019.07.30	18:00:00	7951.15	7963.75	7942.20	7961.70	14540	0	120
2019.07.30	21:00:00	7961.73	7984.15	7941.92	7975.20	13644	0	125
2019.07.31	00:00:00	7980.65	7980.70	7969.01	7975.94	1533	0	133
2019.07.31	03:00:00	7976.20	7983.35	7965.15	7978.15	5737	0	121
2019.07.31	06:00:00	7978.35	7984.30	7973.15	7981.30	4016	0	121
