<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.01	00:00:00	107.914	108.507	107.914	108.374	7494	0	8
2019.07.01	03:00:00	108.374	108.375	108.098	108.227	9428	0	8
2019.07.01	06:00:00	108.227	108.353	108.219	108.326	6505	0	8
2019.07.01	09:00:00	108.326	108.529	108.236	108.243	10565	0	8
2019.07.01	12:00:00	108.243	108.333	108.215	108.289	8409	0	8
2019.07.01	15:00:00	108.289	108.387	108.234	108.319	10997	0	8
2019.07.01	18:00:00	108.319	108.487	108.291	108.452	7959	0	8
2019.07.01	21:00:00	108.452	108.483	108.396	108.438	5145	0	3
2019.07.02	00:00:00	108.433	108.456	108.270	108.372	7455	0	4
2019.07.02	03:00:00	108.369	108.471	108.337	108.416	5417	0	8
2019.07.02	06:00:00	108.416	108.430	108.309	108.347	4856	0	8
2019.07.02	09:00:00	108.348	108.426	108.194	108.212	6885	0	8
2019.07.02	12:00:00	108.212	108.296	108.200	108.267	7013	0	8
2019.07.02	15:00:00	108.266	108.288	108.065	108.113	8986	0	8
2019.07.02	18:00:00	108.113	108.126	107.763	107.879	7991	0	5
2019.07.02	21:00:00	107.879	107.918	107.793	107.881	4798	0	8
2019.07.03	00:00:00	107.884	107.910	107.795	107.831	4738	0	7
2019.07.03	03:00:00	107.832	107.834	107.529	107.577	8448	0	8
2019.07.03	06:00:00	107.577	107.699	107.572	107.687	5445	0	8
2019.07.03	09:00:00	107.687	107.762	107.585	107.687	8305	0	8
2019.07.03	12:00:00	107.686	107.736	107.619	107.666	6305	0	6
2019.07.03	15:00:00	107.666	107.802	107.575	107.772	13207	0	8
2019.07.03	18:00:00	107.772	107.882	107.743	107.851	5219	0	8
2019.07.03	21:00:00	107.851	107.874	107.810	107.810	1705	0	6
2019.07.04	00:00:00	107.811	107.829	107.743	107.764	6433	0	4
2019.07.04	03:00:00	107.765	107.799	107.703	107.754	3331	0	8
2019.07.04	06:00:00	107.754	107.839	107.751	107.808	2494	0	8
